iter	Passed	Remaining
0	47	9435
1	100	9993
2	144	9520
3	182	8924
4	230	8971
5	275	8895
6	317	8756
7	361	8685
8	408	8674
9	454	8633
10	498	8566
11	540	8463
12	580	8353
13	625	8316
14	685	8452
15	733	8439
16	772	8311
17	817	8261
18	858	8174
19	896	8065
20	940	8018
21	986	7979
22	1029	7924
23	1079	7913
24	1121	7849
25	1169	7825
26	1217	7798
27	1266	7782
28	1312	7736
29	1352	7663
30	1393	7598
31	1437	7544
32	1478	7483
33	1523	7436
34	1563	7371
35	1609	7334
36	1654	7290
37	1717	7322
38	1770	7307
39	1816	7264
40	1857	7204
41	1904	7164
42	1944	7101
43	1997	7082
44	2051	7064
45	2096	7017
46	2138	6960
47	2179	6901
48	2225	6858
49	2264	6793
50	2306	6737
51	2352	6694
52	2390	6631
53	2446	6615
54	2493	6574
55	2536	6521
56	2583	6482
57	2628	6434
58	2686	6420
59	2734	6380
60	2783	6342
61	2832	6304
62	2877	6256
63	2920	6206
64	2966	6161
65	3026	6144
66	3069	6092
67	3112	6041
68	3153	5987
69	3197	5938
70	3252	5908
71	3305	5877
72	3354	5836
73	3418	5820
74	3455	5758
75	3481	5679
76	3520	5623
77	3556	5562
78	3584	5490
79	3630	5446
80	3704	5442
81	3757	5406
82	3801	5359
83	3851	5318
84	3901	5277
85	3945	5230
86	3995	5189
87	4045	5149
88	4089	5100
89	4141	5061
90	4166	4990
91	4201	4932
92	4241	4879
93	4289	4837
94	4331	4787
95	4377	4741
96	4424	4698
97	4471	4654
98	4510	4601
99	4546	4546
100	4584	4494
101	4624	4442
102	4667	4395
103	4713	4351
104	4755	4302
105	4800	4256
106	4843	4209
107	4888	4163
108	4933	4118
109	4980	4074
110	5026	4030
111	5070	3984
112	5121	3943
113	5164	3896
114	5205	3847
115	5257	3806
116	5298	3758
117	5345	3714
118	5391	3669
119	5433	3622
120	5477	3576
121	5524	3532
122	5565	3484
123	5608	3437
124	5647	3388
125	5692	3343
126	5738	3298
127	5780	3251
128	5832	3210
129	5877	3164
130	5922	3119
131	5961	3071
132	6006	3025
133	6049	2979
134	6093	2933
135	6135	2887
136	6174	2839
137	6221	2795
138	6260	2747
139	6299	2699
140	6357	2660
141	6403	2615
142	6452	2571
143	6493	2525
144	6536	2479
145	6581	2434
146	6627	2389
147	6671	2343
148	6725	2301
149	6783	2261
150	6828	2215
151	6906	2181
152	6954	2136
153	7008	2093
154	7052	2047
155	7097	2001
156	7145	1957
157	7191	1911
158	7236	1866
159	7282	1820
160	7327	1775
161	7381	1731
162	7424	1685
163	7467	1639
164	7509	1593
165	7553	1547
166	7600	1501
167	7645	1456
168	7688	1410
169	7731	1364
170	7774	1318
171	7817	1272
172	7863	1227
173	7924	1184
174	7972	1138
175	8029	1094
176	8077	1049
177	8123	1004
178	8170	958
179	8213	912
180	8256	866
181	8296	820
182	8333	774
183	8370	727
184	8410	681
185	8453	636
186	8496	590
187	8538	545
188	8582	499
189	8629	454
190	8676	408
191	8721	363
192	8771	318
193	8829	273
194	8872	227
195	8900	181
196	8930	136
197	8962	90
198	9001	45
199	9033	0
