ISO3,GDP_PPP_PerCapita_Observed,GDP_PPP_PerCapita_Observed_Year,GDP_Nominal_PerCapita_Observed,GDP_Nominal_PerCapita_Observed_Year
ISL,83561.4294628375,2024.0,85863.1479330343,2024.0
NOR,105657.0339185,2024.0,89888.9535204758,2024.0
CHE,97467.7447151829,2024.0,107702.065940312,2024.0
DNK,80937.8001363997,2024.0,71026.4832271897,2024.0
HKG,75341.6985534061,2024.0,54274.7547767073,2024.0
SWE,71221.9379308266,2024.0,57222.7100565003,2024.0
AUS,72117.8826659555,2024.0,64609.9865116088,2024.0
NLD,85218.3689343246,2024.0,67465.3208126875,2024.0
IRL,140779.203379453,2024.0,112894.953240805,2024.0
DEU,73957.0012170966,2024.0,56103.7323182554,2024.0
BEL,74224.5510568017,2024.0,56581.9375642531,2024.0
SGP,153161.175431382,2024.0,94896.5621495988,2024.0
FIN,65137.1816928289,2024.0,53155.5451165897,2024.0
GBR,62839.4679324927,2024.0,53341.3131094262,2024.0
ARE,79343.7793099888,2024.0,50273.5126243239,2024.0
LIE,,,220167.225473557,2024.0
CAN,65482.9454728344,2024.0,55015.7066917734,2024.0
NZL,55793.9990422226,2024.0,49432.3626396797,2024.0
USA,86169.6641581914,2024.0,86169.6641581917,2024.0
SVN,57570.5904042272,2024.0,34301.0318686594,2024.0
AUT,75774.4136543206,2024.0,58268.8787651601,2024.0
MLT,70062.9017440762,2024.0,44023.6341078148,2024.0
LUX,156079.3685607,2024.0,137781.681659123,2024.0
ISR,57277.8631217651,2024.0,54216.5218142787,2024.0
KOR,61051.3492502498,2024.0,36238.639908315,2024.0
SMR,78810.3378046111,2023.0,59871.3288101478,2023.0
AND,75394.8581564469,2024.0,49357.437070178,2024.0
FRA,62524.5434134804,2024.0,46103.0840855884,2024.0
CYP,63006.765625,2024.0,38674.3125,2024.0
CZE,57625.0961715706,2024.0,31827.7552539413,2024.0
BHR,67230.1000247874,2024.0,29717.1424605273,2024.0
ESP,58063.7350840487,2024.0,35326.7683069278,2024.0
QAT,126712.582876079,2024.0,75685.0865779973,2024.0
JPN,54156.2687689605,2024.0,33797.1014287876,2024.0
EST,50395.7686402966,2024.0,31428.3547816104,2024.0
LTU,55699.3734421294,2024.0,29603.7772588256,2024.0
POL,51262.5105756884,2024.0,25103.565661423,2024.0
ITA,62292.9012423008,2024.0,40429.6224047352,2024.0
SAU,71936.2510663399,2024.0,35527.786181866,2024.0
HRV,49550.8073348367,2024.0,24049.9441746337,2024.0
GRC,44170.9556658376,2024.0,24626.1481858973,2024.0
LVA,43873.3777849582,2024.0,23578.9663562625,2024.0
SVK,47846.6169154961,2024.0,25992.6748502048,2024.0
CHL,36070.892945837,2024.0,16658.9652720351,2024.0
PRT,52512.5651003677,2024.0,29328.3067415343,2024.0
KNA,34897.2104637487,2024.0,23960.6534357084,2024.0
MYS,38835.6013146653,2024.0,11874.4273684245,2024.0
ATG,33351.5904481886,2024.0,23059.8330702839,2024.0
URY,36596.7847357669,2024.0,24308.4954958447,2024.0
OMN,41800.7841364086,2024.0,20285.2272765262,2024.0
KAZ,40950.3167392792,2024.0,14154.6324958076,2024.0
BHS,41257.7650774105,2024.0,39455.4466548546,2024.0
SYC,33339.491987317,2024.0,18364.5259678223,2024.0
PAN,41429.5092511481,2024.0,19161.218843129,2024.0
CRI,31552.1489834288,2024.0,18853.2828705886,2024.0
BRB,24539.6254147583,2024.0,26897.2002039176,2024.0
HUN,48540.1614792293,2024.0,23305.4482514359,2024.0
KWT,53119.3783662664,2024.0,32855.7209688827,2024.0
CHN,27139.5181633767,2024.0,13293.1162269366,2024.0
TUR,45122.9317187258,2024.0,15892.7157287241,2024.0
GEO,27486.8762116648,2024.0,8967.67525638987,2024.0
MNE,34062.8241865953,2024.0,13270.1824401005,2024.0
BRN,90009.8912498003,2024.0,33153.4738913513,2024.0
ROU,49076.7137157187,2024.0,20080.2096215595,2024.0
IDN,16472.4825935409,2024.0,4925.43644992666,2024.0
BGR,41969.595471884,2024.0,17596.9167621233,2024.0
LCA,28116.7677870924,2024.0,14493.658470648,2024.0
ARG,30475.3876517556,2024.0,13969.7836603737,2024.0
MUS,31696.7381226145,2024.0,11990.9355434317,2024.0
VCT,21302.9730252553,2024.0,11501.2265187188,2024.0
SRB,32832.274492238,2024.0,13677.7794863909,2024.0
MKD,26995.5213483235,2024.0,9291.8566035502,2024.0
THA,24909.2266037939,2024.0,7386.63615126055,2024.0
ALB,26701.7649330157,2024.0,11374.0085781236,2024.0
GRD,19903.184889337,2024.0,11528.9220811928,2024.0
ARM,22856.32510991,2024.0,8556.21406956719,2024.0
PLW,21059.1347141726,2024.0,18169.0767165866,2024.0
GUY,80271.4254322872,2024.0,29675.2501582835,2024.0
VNM,16387.9087954113,2024.0,4716.6599379632,2024.0
DOM,27581.6606581871,2024.0,10875.6618443092,2024.0
DMA,21331.6193698018,2024.0,10405.2787777582,2024.0
RUS,47686.06640625,2024.0,14961.8974609375,2024.0
MEX,25820.3527960242,2024.0,13988.0423745241,2024.0
AZE,25146.3588844273,2024.0,7294.64276088105,2024.0
MDV,26220.8078173473,2024.0,13379.3513577224,2024.0
FJI,15472.737444718,2024.0,6425.74151715712,2024.0
PHL,11813.805926453,2024.0,3985.29464669706,2024.0
TTO,36381.2720794439,2024.0,18733.4110406494,2024.0
BIH,25148.0128390147,2024.0,9397.90942855997,2024.0
MNG,19172.5295870282,2024.0,6750.6301157724,2024.0
IND,10718.5934040662,2024.0,2591.9916607122,2024.0
PER,17881.8685833242,2024.0,8526.29665719783,2024.0
COL,22439.4001359818,2024.0,7951.08624019412,2024.0
BWA,20612.4785435561,2024.0,7649.81663744354,2024.0
BRA,22370.9182253225,2024.0,10310.5486973693,2024.0
TON,8174.34840883872,2024.0,6215.38990974121,2024.0
JOR,11916.3623210714,2024.0,5073.92103605892,2024.0
BLR,33166.3827902975,2024.0,8605.60954569694,2024.0
LKA,15701.0907191253,2024.0,4545.36006870612,2024.0
TUN,14542.0966234293,2024.0,4187.64079392362,2024.0
UZB,12518.4323028403,2024.0,3337.45492058664,2024.0
CPV,11184.7207350908,2024.0,5170.20531932535,2024.0
IRN,19902.7484779621,2024.0,5190.16959024821,2024.0
MAR,10430.2490234375,2024.0,4153.1943359375,2024.0
UKR,18636.13671875,2024.0,5391.62255859375,2024.0
ZAF,15478.6456794969,2024.0,6267.186814093,2024.0
BGD,9660.77962818873,2024.0,2593.41611680774,2024.0
ECU,15848.3400023446,2024.0,6826.5294137822,2024.0
MHL,8237.95897993999,2024.0,7590.28443592202,2024.0
BLZ,14367.3539278152,2024.0,7681.24400583113,2024.0
WSM,8750.62541028446,2024.0,5392.87761915762,2024.0
NRU,13612.0368416276,2024.0,14048.163961344,2024.0
BTN,17762.4053956096,2024.0,4228.05102403654,2024.0
MDA,18661.6606470212,2024.0,7578.90216348853,2024.0
