ISO3,Country_Source,Region_Source,Hindu_Total_Source,Hindu_Population_2025_Est,Hindu_Pct_Source,Hindu_Pct_2025,Pct_Parse_Note,Population_Source,Census_Year_Source
AFG,Afghanistan,South Asia/Central Asia,"10,511",10511,0.03%[24][25][26],0.03,exact,"35,036,667",-NA-
AND,Andorra,Western Europe,382,382,0.5%[27][28],0.5,exact,"82,887",2020
ARE,United Arab Emirates,Middle East,"490,000[note 4]",490000,5 - 20%[170],12.5,range_midpoint,"9,682,000",
ARG,Argentina,South America,"4,000+",4000,0.01%[31],0.01,exact,"40,301,927",-NA-
ATG,Antigua and Barbuda,Caribbean,379,379,0.4%[30],0.4,exact,"81,799",-NA-
AUS,Australia,Oceania,"684,000",684000,2.7%[32],2.7,exact,"23,401,400",2021
AUT,Austria,Central Europe,"11,000",11000,0.1%[33],0.1,exact,"8,900,000",
BDI,Burundi,Central Africa,"8,391",8391,0.1%[47][48],0.1,exact,"8,390,505",
BEL,Belgium,Western Europe,"6,235",6235,0.06%[40],0.06,exact,"10,392,226",
BFA,Burkina Faso,West Africa,150,150,0.001%[citation needed],0.001,exact,"14,326,203",
BGD,Bangladesh,South Asia,"13,100,000",13100000,7.9%[37][38],7.9,exact,"165,000,000",2022
BHR,Bahrain,Middle East,"7,000 – 144,286[note 1]",75643,<1%–9.8%[36][note 1],5.4,range_midpoint,"708,573",
BLZ,Belize,Central America and Caribbean,612,612,0.2%[41],0.2,exact,"294,385",
BRA,Brazil,South America,"5,675–9,500",7588,0.0029%[45]–0.01%,0.00645,range_midpoint,"192,755,799",
BRB,Barbados,Caribbean,"1,055",1055,0.46%[39],0.46,exact,"226,193",
BRN,Brunei,Southeast Asia,131,131,0.035%[46],0.035,exact,"374,577",
BTN,Bhutan,South Asia,"185,700",185700,22.6%–25%[42][43],23.8,range_midpoint,"742,737",
BWA,Botswana,Southern Africa,"3,353",3353,0.3%[44],0.3,exact,"1,372,675",
CAN,Canada,North America,"828,200",828200,2.3%[51],2.3,exact,"36,990,141",2021
CHE,Switzerland,Western Europe,"28,708-50,000[155][156]",39354,0.38%[157][158]-0.6%[159],0.49,range_midpoint,"7,554,661",
CHN,China,East Asia,"20,000[53]",20000,<0.1%[54],0.1,less_than_as_value,"1,412,600,000",
CIV,Côte d'Ivoire,West Africa,"18,013",18013,0.1%[58][59],0.1,exact,"18,013,409",
COD,Congo (Kinshasa),Central Africa,"30,000[23]",30000,0.18%[23],0.18,exact,"65,751,512",
COL,Colombia,South America,"8,876",8876,0.02%[55],0.02,exact,"44,379,598",
CUB,Cuba,North America,"23,927",23927,0.21%[57],0.21,exact,"11,394,043",
CYP,Cyprus,Middle East,"4,640",4640,0.4%[60],0.4,exact,"1,160,987",2015
CZE,Czech Republic,Central Europe,"2,404",2404,0.023%[52],0.023,exact,"10,436,560",
DEU,Germany,Western Europe,"130,000",130000,0.15% (approx)[73],0.15,exact,"82,660,000",
DJI,Djibouti,East Africa,99,99,0.02%[63],0.02,exact,"496,374",
DMA,Dominica,Caribbean,145,145,0.2%[64],0.2,exact,"72,386",
DNK,Denmark,Western Europe,"5,468",5468,0.1%[61][62],0.1,exact,"5,468,120",
EGY,Egypt,North Africa,"2,700",2700,0.003%[65],0.003,exact,"82,761,244",2010
ERI,Eritrea,East Africa,"4,907",4907,0.1% (approx)[66],0.1,exact,"4,906,585",
ESP,Spain,Western Europe,"75,000",75000,0.11%[148],0.11,exact,"48,692,804",2024
EST,Estonia,Eastern Europe,295,295,0.027%[67],0.027,exact,"1,094,564",
FIN,Finland,Western Europe,"5,000",5000,0.1%[70],0.1,exact,"5,238,460",
FJI,Fiji,Oceania,"261,136",261136,27.9%[68][69],27.9,exact,"935,974",
FRA,France,Western Europe,"121,000",121000,0.2%[71],0.2,exact,"63,718,187",
GBR,United Kingdom,Western Europe,"1,020,000",1020000,1.7%[171][172],1.7,exact,"60,776,238",2017
GEO,Georgia,Eastern Europe,465,465,0.01% (approx)[72],0.01,exact,"4,646,003",
GHA,Ghana,West Africa,"12,500",12500,0.05% (approx)[74],0.05,exact,"22,931,299",
GRD,Grenada,Caribbean,630,630,0.7%[76],0.7,exact,"89,971",
GUY,Guyana,South America and Caribbean,"190,966",190966,24.9%[78],24.9,exact,"769,095",
HRV,Croatia,Balkans,449,449,0.01% (approx)[56],0.01,exact,"4,493,312",
HUN,Hungary,Central Europe,"3,307[79][80][81]",3307,0.03%,0.03,exact,"9,603,634",2022
IDN,Indonesia,Southeast Asia,"4,679,053[85]",4679053,1.71%[85],1.71,exact,"273,873,000",2021
IND,India,South Asia,"1,053,000,000",1053000000,79.8%[82][83][84],79.8,exact,"1,320,000,000",(2011 Census)
IRL,Ireland,Western Europe,"14,300",14300,0.30%[86],0.3,exact,"4,761,865",2016
IRN,Iran,Middle East,"20,000[23]",20000,<0.1[23],0.1,less_than_as_value,"65,397,521",
ISR,Israel,Middle East,"c.500–1,400",950,0.01%[87],0.01,exact,"9,412,850",2020
ITA,Italy,Western Europe,"108,950",108950,0.2% (approx)[88],0.2,exact,"60,418,000",
JAM,Jamaica,Caribbean,"1,836",1836,0.07%[89],0.07,exact,"2,780,132",
JOR,Jordan,Middle East,"10,185",10185,0.1[90],0.1,exact,"10,185,500",2020
JPN,Japan,East Asia,"30,000[23]",30000,<0.1[23],0.1,less_than_as_value,"127,433,494",
KAZ,Kazakhstan,Central Asia,"1,878",1878,0.01%[91],0.01,exact,"18,632,000",2020
KEN,Kenya,East Africa,"60,000[23]",60000,0.1%[23],0.1,exact,"37,000,000",
KHM,Cambodia,Southeast Asia,"41,988",41988,0.3%[49][50],0.3,exact,"13,995,904",
KNA,Saint Kitts and Nevis,Saint Kitts and Nevis,860,860,1.82%[136],1.82,exact,"47,195",2011
KOR,"Korea, South",East Asia,"12,452",12452,0.015% (approx),0.015,exact,"49,044,790",
KWT,Kuwait,Middle East,"300,667[note 2]",300667,12%[93],12.0,exact,"2,505,559",
LBN,Lebanon,Middle East,"4,926",4926,0.1% (approx)[95],0.1,exact,"4,925,502",
LBR,Liberia,West Africa,"3,196",3196,0.1% (approx)[99],0.1,exact,"3,195,931",
LBY,Libya,North Africa,"6,037",6037,0.1%[100][101],0.1,exact,"6,036,914",
LKA,Sri Lanka,South Asia,"2,671,000",2671000,12.6%[149],12.6,exact,"21,200,000",2011
LSO,Lesotho,Southern Africa,"2,125",2125,0.1% (approx)[97][98],0.1,exact,"2,125,262",
LTU,Lithuania,Eastern Europe,344,344,0.01%[96],0.01,exact,"2,561,000",
LUX,Luxembourg,Western Europe,336,336,0.07% (approx)[102],0.07,exact,"480,222",
LVA,Latvia,Eastern Europe,179,179,0.012%[94],0.012,exact,"1,481,823",
MAR,Morocco,North Africa,200,200,0.0006[112],0.0006,exact,"32,781,860",2011
MDA,Moldova,Eastern Europe,433,433,0.01% (approx)[111],0.01,exact,"3,200,000",
MDG,Madagascar,Southern Africa,"19,449",19449,0.1%[103][104],0.1,exact,"19,448,815",
MDV,Maldives,South Asia,37,37,0.01%[110],0.01,exact,"369,031",
MMR,Myanmar,Southeast Asia,"252,763[115]",252763,0.5%[116],0.5,exact,"50,279,900[117]",2014
MOZ,Mozambique,Southern Africa,"10,453 – 41,811",26132,0.05%[113] – 0.2%[114],0.125,range_midpoint,"20,905,585",
MUS,Mauritius,Southern Africa,"474,000",474000,39%[18],39.0,exact,"1,261,000",2022
MWI,Malawi,Southern Africa,"2,721 – 2,726",2724,0.02%[105] – 0.2%[106],0.11,range_midpoint,"13,603,181",
MYS,Malaysia,Southeast Asia,"1,949,850",1949850,6.3%[107][108],6.3,exact,"30,949,962",
NLD,Netherlands,Western Europe,"96,110 – 200,000",148055,0.58%[120] – 1.20%[121],0.8899999999999999,range_midpoint,"16,570,613",
NOR,Norway,Western Europe,"23,140",23140,0.5%,0.5,exact,"4,627,926",
NPL,Nepal,South Asia,"23,677,744",23677744,81.19%[118],81.19,exact,"29,164,578[119]",2021
NZL,New Zealand,Oceania,"144,753",144753,2.9%[122],2.9,exact,"4,115,771",
OMN,Oman,Middle East,"96,147 – 182,679",139413,3%[123] – 5.7%[124],4.35,range_midpoint,"3,204,897",
PAK,Pakistan,South Asia,"5,217,216",5217216,2.17%[125],2.17,exact,"240,458,089",2023
PAN,Panama,Central America,"9,726",9726,0.3%[126][127],0.3,exact,"3,242,173",
PHL,Philippines,Southeast Asia,"32,711[20]",32711,<0.1%[20],0.1,less_than_as_value,"102,000,000[128][129]",
POL,Poland,Central Europe,"2,421",2421,0.008%[130],0.008,exact,"30,575,000",
PRT,Portugal,Western Europe,"7,396",7396,0.07%,0.07,exact,"10,642,836",
QAT,Qatar,Middle East,"422,118",422118,15.1%[132],15.1,exact,"2,795,484[133]",2020
RUS,Russia,Eastern Europe,"143,000",143000,0.1%[135],0.1,exact,"141,377,752",
SAU,Saudi Arabia,Middle East,"303,611[note 3]",303611,0.6%[138] – 1.1%[139],0.8500000000000001,range_midpoint,"27,601,038",
SGP,Singapore,Southeast Asia,"280,000",280000,5.0%[144][145],5.0,exact,"5,600,000",2011
SLE,Sierra Leone,West Africa,"2,458 – 6,145",4302,0.04%[142] – 0.1%[143],0.07,range_midpoint,"6,144,562",
SOM,Somalia,Eastern Africa,"8,278",8278,0.06%[146],0.06,exact,"13,797,204",2015
SUR,Suriname,South America and Caribbean,"120,623 – 128,995",124809,22.3%[150] – 27.4%[151],24.85,range_midpoint,"470,784",
SWE,Sweden,Western Europe,"7,044 – 10,837",8940,0.078% – 0.12%[154],0.099,range_midpoint,"9,031,088",
SWZ,Eswatini,Southern Africa,"1,700 – 2,266",1983,0.15%[152] – 0.2%[153],0.175,range_midpoint,"1,133,066",
SYC,Seychelles,East Africa,"5,508",5508,5.4%[140][141],5.4,exact,"102,812",2022
THA,Thailand,Southeast Asia,"65,000",65000,0.1%[164],0.1,exact,"65,068,149",
TON,Tonga,Oceania,100,100,0.1%[165],0.1,exact,"103,043",
TTO,Trinidad and Tobago,Caribbean,"240,100",240100,18.2%[161][162][163],18.2,exact,"1,056,608",2011
TUN,Tunisia,North Africa,120,120,0.001%[166],0.001,exact,"11,303,942",2016
TUR,Turkey,Middle East,843,843,0.001%[167],0.001,exact,"83,614,362",2020
TZA,Tanzania,East Africa,"50,000[160]",50000,0.11%[160],0.11,exact,"39,384,223",
UGA,Uganda,East Africa,"100,000[54]",100000,0.3%[54],0.3,exact,"38,225,447",
UKR,Ukraine,Eastern Europe,"42,386",42386,0.1%[168],0.1,exact,"42,386,400",
USA,United States,North America,"3,338,210",3338210,1.0%[173],1.0,exact,"332,000,000",2020
UZB,Uzbekistan,Central Asia,895[167],895,0.0025%,0.0025,exact,"34,558,900",2020
VNM,Vietnam,Southeast Asia,"70,000",70000,0.07%,0.07,exact,"85,262,356",
WSM,Samoa,Oceania,38,38,0.02% (approx),0.02,exact,"187,429",
YEM,Yemen,Middle East,"155,614",155614,0.7%[175],0.7,exact,"22,230,531",
ZAF,South Africa,Southern Africa,"505,000",505000,0.9%[147]-1.1%[23],1.0,range_midpoint,"49,991,300",
ZMB,Zambia,Southern Africa,"16,068",16068,0.14%[176][177],0.14,exact,"11,477,447",
ZWE,Zimbabwe,Southern Africa,"3,000",3000,0.02%,0.02,exact,"12,311,143",
