ISO3,Country_Source,Muslim_Population_Source,Muslim_Population_2025_Est,Muslim_Pct_Source,Muslim_Pct_2025,Pct_Parse_Note,Population_Source,Source_Refs
AFG,Afghanistan,"37,098,000",37098000,99.9,99.9,exact,"37,135,000",[43]
AGO,Angola,"90,000",90000,0.3,0.3,exact,"30,355,880",[49][50]
ALB,Albania,"1,217,362",1217362,50.7,50.7,exact,"2,402,113",[44]
AND,Andorra,"2,228",2228,2.6,2.6,exact,"85,708",[47][48]
ARE,United Arab Emirates,"6,251,627",6251627,72.0,72.0,exact,"9,541,615",[307][308]
ARG,Argentina,"400,000",400000,0.9,0.9,exact,"44,694,198",[53][50]
ARM,Armenia,500,500,0.02,0.02,exact,"3,038,217",[54]
ATG,Antigua and Barbuda,208,208,0.25,0.25,exact,"84,816",[52]
AUS,Australia,"813,392",813392,3.2,3.2,exact,"25,700,000",[57]
AUT,Austria,"745,600",745600,8.3,8.3,exact,"8,935,800",[58]
AZE,Azerbaijan,"10,073,758",10073758,97.3,97.3,exact,"10,353,296",[59]
BDI,Burundi,"1,184,452",1184452,10.0,10.0,exact,"11,844,520",[88][89]
BEL,Belgium,"879,377",879377,7.6,7.6,exact,"11,570,762",[68][69]
BEN,Benin,"3,141,319",3141319,27.7,27.7,exact,"11,340,504",[72]
BFA,Burkina Faso,"13,513,840",13513840,63.8,63.8,exact,"21,382,659",[87]
BGD,Bangladesh,"150,800,000",150800000,91.0,91.0,exact,"165,200,000",[62][63]
BGR,Bulgaria,"861,015",861015,13.4,13.4,exact,"7,057,504",[85][86]
BHR,Bahrain,"1,111,533",1111533,74.0,74.0,exact,"1,501,635",[61]
BHS,Bahamas,"< 1,000",1000,0.1,0.1,exact,"332,634",[60]
BIH,Bosnia and Herzegovina,"1,955,084",1955084,50.7,50.7,exact,"3,849,891",[78]
BLR,Belarus,"8,445",8445,0.08,0.08,exact,"9,527,543",[65][66][67]
BLZ,Belize,484,484,0.1,0.1,exact,"397,483",[70][71]
BOL,Bolivia,"2,000",2000,< 0.1,0.1,less_than_as_value,"11,306,341",[76][77]
BRA,Brazil,"35,167 – 1,500,000",767584,0.02 – 0.7,0.36,range_midpoint,"210,000,000",[81][82]
BRB,Barbados,"4,396",4396,1.5,1.5,exact,"293,131",[64]
BRN,Brunei,"379,894",379894,82.1,82.1,exact,"462,721",[84]
BTN,Bhutan,0,0,0,0.0,exact,"766,397",[74][75]
BWA,Botswana,"8,996",8996,0.4,0.4,exact,"2,249,104",[79][80]
CAF,Central African Republic,"861,759",861759,15.0,15.0,exact,"5,745,062",[97]
CAN,Canada,"1,775,715",1775715,4.9,4.9,exact,"36,328,480",[93]
CHE,Switzerland,"440,000",440000,5.9,5.9,exact,"8,492,956",[282]
CHL,Chile,"4,000",4000,< 0.1,0.1,less_than_as_value,"17,925,262",[99][100]
CHN,China,"6,255,000 – 50,000,000",28127500,0.45 – 3.0,1.725,range_midpoint,"1,390,000,000",[101][102][103][104][105]
CIV,Ivory Coast,"11,265,789",11265789,42.9,42.9,exact,"26,260,582",[114]
CMR,Cameroon,"9,482,273",9482273,30.6,30.6,exact,"30,987,821",[91][92]
COD,DR Congo,"1,865,822",1865822,1.5,1.5,exact,"124,388,160",[110][111]
COG,Congo,"107,997",107997,2.0,2.0,exact,"5,399,895",[257]
COL,Colombia,"96,337",96337,0.2,0.2,exact,"48,168,996",[107][108]
COM,Comoros,"807,204",807204,98.3,98.3,exact,"821,164",[109]
CPV,Cape Verde,"11,367",11367,2.0,2.0,exact,"568,373",[94][95]
CRI,Costa Rica,1500,1500,< 0.1,0.1,less_than_as_value,"4,987,142",[113]
CUB,Cuba,"11,116",11116,0.1,0.1,exact,"11,116,396",[116]
CYP,Cyprus,"275,000",275000,25.3,25.3,exact,"1,100,000",[117]
CZE,Czech Republic,"10,000 – 20,000",15000,0.1 – 0.2,0.15000000000000002,range_midpoint,"10,686,269",[118][69]
DEU,Germany,"5,600,000",5600000,6.7,6.7,exact,"83,100,000",[42][149][150]
DJI,Djibouti,"998,273",998273,99.4,99.4,exact,"1,003,800",[120]
DMA,Dominica,"< 1,000",1000,0.2,0.2,exact,"74,027",[121]
DNK,Denmark,"313,713",313713,5.4,5.4,exact,"5,809,502",[119][69]
DOM,Dominican Republic,"2,000",2000,< 0.1,0.1,less_than_as_value,"10,298,756",[122][123]
DZA,Algeria,"46,500,000",46500000,99.0,99.0,exact,"47,000,000",[45]
ECU,Ecuador,"< 1,000",1000,< 0.1,0.1,less_than_as_value,"16,498,502",[124][125]
EGY,Egypt,"85,000,000 – 90,000,000",87500000,90.0 – 94.7,92.35,range_midpoint,"95,000,000",[126]
ERI,Eritrea,"2,160,000 – 3,100,000",2630000,51.6,51.6,exact,"6,000,000",[132]
ESP,Spain,"2,484,356",2484356,5.0,5.0,exact,"49,687,120",[278]
EST,Estonia,"1,508",1508,< 0.1,0.1,less_than_as_value,"1,244,288",[133]
ETH,Ethiopia,"34,702,632",34702632,31.3,31.3,exact,"110,871,031",[135]
FIN,Finland,"140,000",140000,2.5,2.5,exact,"5,608,000",[141][142]
FJI,Fiji,"58,355",58355,6.3,6.3,exact,"926,276",[140]
FRA,France,"6,939,136",6939136,10.38,10.38,exact,"66,792,845",[69][143]
FSM,Federated States of Micronesia,"< 1,000",1000,< 0.1,0.1,less_than_as_value,"103,643",[139]
GAB,Gabon,"211,903",211903,10.0,10.0,exact,"2,119,036",[145][146]
GBR,United Kingdom,"3,998,875",3998875,6.0,6.0,exact,"66,040,229",[69][309]
GEO,Georgia,"398,677",398677,10.7,10.7,exact,"3,713,804",[148]
GHA,Ghana,"6,442,205",6442205,19.9,19.9,exact,"32,372,889",[151][95][152]
GIN,Guinea,"10,563,171",10563171,89.1,89.1,exact,"11,855,411",[161]
GMB,Gambia,"2,283,080",2283080,96.4,96.4,exact,"2,413,403",[147]
GNB,Guinea-Bissau,"911,023",911023,46.1,46.1,exact,"1,976,187",[162]
GNQ,Equatorial Guinea,"71,833",71833,4.0,4.0,exact,"1,795,834",[130][131]
GRC,Greece,"313,406",313406,3.7,3.7,exact,"10,761,523",[155][69]
GRD,Grenada,"< 1,000",1000,0.3,0.3,exact,"112,207",[157]
