City,Country,ISO3,Country_Alpha2,Continent,Latitude,Longitude,GeoNames_Population,Is_Capital,City_Rank_In_Selected_Country,Matched_Subdivision,City_HDI_2025,City_HDI_2050,City_HDI_Change,National_HDI_2025,National_HDI_2050,Urban_Premium_2025,Urban_Premium_2050,Projection_Method,Confidence,Data_Status,GeoNames_ID
Zuerich,Switzerland,CHE,CH,Europe,47.36667,8.55,415367,False,2,Zurich,0.99,0.986375,-0.003625,0.97,0.9674,-0.001837,0.001879,matched_subdivision_plus_bounded_urban_premium,higher,modeled_city_estimate_not_official_undp_city_hdi,2657896
Canberra,Australia,AUS,AU,Asia/Pacific,-35.28346,149.12807,367752,True,1,Australian Capital Territory,0.989565,0.981964,-0.0076,0.958,0.9571,0.002829,0.002319,matched_subdivision_plus_bounded_urban_premium,higher,modeled_city_estimate_not_official_undp_city_hdi,2172517
London,UK,GBR,GB,Europe,51.50853,-0.12574,8961989,True,1,London,0.99,0.981859,-0.008141,0.946,0.9442,0.001218,0.003407,matched_subdivision_plus_bounded_urban_premium,higher,modeled_city_estimate_not_official_undp_city_hdi,2643743
Oslo,Norway,NOR,NO,Europe,59.91273,10.74609,1082575,True,1,Oslo og Akershus,0.985306,0.97971,-0.005596,0.97,0.9676,0.003277,0.002687,matched_subdivision_plus_bounded_urban_premium,higher,modeled_city_estimate_not_official_undp_city_hdi,3143244
Beijing,China,CHN,CN,Asia/Pacific,39.9075,116.39723,18960744,True,1,Beijing,0.921808,0.979098,0.05729,0.797,0.8801,0.006495,0.004157,matched_subdivision_plus_bounded_urban_premium,higher,modeled_city_estimate_not_official_undp_city_hdi,1816670
Stockholm,Sweden,SWE,SE,Europe,59.32938,18.06871,1515017,True,1,Stockholm,0.983126,0.976715,-0.006411,0.959,0.9576,0.003416,0.002801,matched_subdivision_plus_bounded_urban_premium,higher,modeled_city_estimate_not_official_undp_city_hdi,2673730
Prague,Czechia,CZE,CZ,Europe,50.08804,14.42076,1165581,True,1,Prague,0.985593,0.972428,-0.013165,0.915,0.918,0.003308,0.002117,matched_subdivision_plus_bounded_urban_premium,higher,modeled_city_estimate_not_official_undp_city_hdi,3067696
Paris,France,FRA,FR,Europe,48.85341,2.3488,2138551,True,1,Ile de France,0.984567,0.9723,-0.012266,0.92,0.9203,0.00356,0.002278,matched_subdivision_plus_bounded_urban_premium,higher,modeled_city_estimate_not_official_undp_city_hdi,2988507
Reykjavik,Iceland,ISL,IS,,64.13548,-21.89541,118918,True,1,Capital Region,0.97436,0.971935,-0.002425,0.972,0.97,0.00236,0.001935,national_fallback_plus_bounded_urban_premium,modeled,modeled_city_estimate_not_official_undp_city_hdi,3413829
Bergen,Norway,NOR,NO,Europe,60.39299,5.32415,294029,False,2,Vestlandet,0.976177,0.971904,-0.004273,0.97,0.9676,0.002148,0.001761,matched_subdivision_plus_bounded_urban_premium,higher,modeled_city_estimate_not_official_undp_city_hdi,3161732
Utrecht,Netherlands,NLD,NL,Europe,52.09083,5.12222,376435,False,4,Utrecht,0.977761,0.971589,-0.006172,0.955,0.9536,0.001962,0.001609,matched_subdivision_plus_bounded_urban_premium,higher,modeled_city_estimate_not_official_undp_city_hdi,2745912
Geneva,Switzerland,CHE,CH,Europe,46.20222,6.14569,201741,False,3,Lake Geneva region,0.976684,0.971391,-0.005294,0.97,0.9674,0.001847,0.001515,matched_subdivision_plus_bounded_urban_premium,higher,modeled_city_estimate_not_official_undp_city_hdi,2660646
Kopavogur,Iceland,ISL,IS,,64.11234,-21.91298,40040,False,2,Capital Region,0.973412,0.971158,-0.002254,0.972,0.97,0.001412,0.001158,national_fallback_plus_bounded_urban_premium,modeled,modeled_city_estimate_not_official_undp_city_hdi,3415212
Hafnarfjoerdur,Iceland,ISL,IS,,64.0671,-21.93774,31525,False,3,Capital Region,0.973268,0.97104,-0.002228,0.972,0.97,0.001268,0.00104,national_fallback_plus_bounded_urban_premium,modeled,modeled_city_estimate_not_official_undp_city_hdi,3416706
Reykjanesbaer,Iceland,ISL,IS,,63.99813,-22.56111,19724,False,4,Southern Peninsula,0.973124,0.970922,-0.002202,0.972,0.97,0.001124,0.000922,national_fallback_plus_bounded_urban_premium,modeled,modeled_city_estimate_not_official_undp_city_hdi,8644037
Akureyri,Iceland,ISL,IS,,65.68353,-18.0878,19219,False,5,Northeast,0.97298,0.970804,-0.002176,0.972,0.97,0.00098,0.000804,national_fallback_plus_bounded_urban_premium,modeled,modeled_city_estimate_not_official_undp_city_hdi,2633274
Trondheim,Norway,NOR,NO,Europe,63.43049,10.39506,216518,False,3,Trondelag,0.973906,0.969962,-0.003944,0.97,0.9676,0.001877,0.001539,matched_subdivision_plus_bounded_urban_premium,higher,modeled_city_estimate_not_official_undp_city_hdi,3133880
Shanghai,China,CHN,CN,Asia/Pacific,31.22222,121.45806,24874500,False,2,Shanghai,0.909899,0.969403,0.059504,0.797,0.8801,0.005586,0.003575,matched_subdivision_plus_bounded_urban_premium,higher,modeled_city_estimate_not_official_undp_city_hdi,1796236
