ISO3,Country,Group,Projection_Profile,TFR_2024,TFR_2050,Nat_TFR_2024,Nat_TFR_2050,Share_2024_pct,Share_2050_pct,Change_pp,Share_2050_WithoutMigrationResponse_pct,Migration_Attributed_Change_pp,Share_2050_LowMigrationScenario_pct,Share_2050_HighMigrationScenario_pct,Share_2050_Migration_P10_pct,Share_2050_Migration_P90_pct,Migration_Uncertainty_Width_pp,Pop_2024,Pop_2050,Demographic_Pressure,Birth_Replacement_Pressure_2050,Europe_Migration_Response_2050,Migration_Intensity_2050,Migration_Origin_Candidates,Migration_Channel_Active,Migration_SourceSupply_2050,Migration_BroadLaborMobility_2050,Migration_SkillReadiness_2050,Migration_ClimatePressure_2050,Migration_DestinationPull_2050,Migration_DiasporaNetwork_2050,Migration_CorridorAffinity_2050,Migration_SettlementRetention_2050,Migration_CorridorMultiplier_2050,Skilled_Migration_SourcePressure_2050,Skilled_Migration_ProgramIntensity_2050,BroadLabor_Migration_SourcePressure_2050,BroadLabor_Migration_ProgramIntensity_2050,SSA_LateMigration_DestinationResponse_2050,Policy_Openness,Policy_Feedback_2050,Mixed_Identity_Recognition_Rate,Identity_Category_Transition_Rate,Diversity_Index_2024,Diversity_Index_2050,Diversity_Index_Change,Composition_Diversity_Index_2050,Composition_Concentration_Index_2050,Inclusive_Service_Delivery_Gap_2050,Inclusive_Mobility_Share_2050_pct,Inclusive_Mobility_Change_pp,Inclusive_Mobility_Delta_vs_Baseline_pp,Inclusive_Mobility_IdentityFormationMultiplier,Inclusive_Mobility_MixedIdentityMultiplier,Inclusive_Mobility_IdentityTransitionRate,Inclusive_Mobility_CompositionDiversity_2050,Intergenerational_Mobility_Convergence_2050,Subnational_Regional_Concentration_2050,Climate_Migration_Stress_2050,Language_Access_Capacity_2050,Language_Access_Gap_2050,Effective_Groups_2050,Urbanization_2024,Urbanization_Layer,Urban_Absorption_Pressure,HDI_2050_Gain_Link,HDI_HealthIndex_2050_Link,HDI_EducationIndex_2050_Link,HDI_IncomeIndex_2050_Link,HDI_HumanCapitalAbsorption_Link,HDI_DependencyPressure_Link,HDI_AgingPressure_Link,HDI_WorkingAgePct_2050_Link,Baseline_Reference_Category
AFG,Afghanistan,Pashtun,largest_baseline_category,4.5,3.42,4.5,3.42,42.0,42.3,0.3,42.3,0.0,42.33,42.27,42.27,42.33,0.06,17911951,32522273,0.0,0.0,0.0,1.25,unspecified,False,0.5,0.48,0.56,0.42,0.454,1.271,1.0,0.78,0.832,0.0,0.0,0.804,0.0,0.0,1.0,1.0,0.0,0.001,0.731,0.7333,0.0023,0.7333,2.2441,0.3234,41.58,-0.42,-0.71,2.038,2.273,0.0005,0.7368,0.2983,0.2283,0.1148,0.5753,0.3014,3.75,0.359,rural-heavy,0.0,0.0165,0.7545,0.3648,0.489,0.029,0.7138,0.0,51.98,True
AFG,Afghanistan,Tajik,largest_baseline_category,4.5,3.42,4.5,3.42,27.0,25.56,-1.44,25.56,0.0,25.58,25.54,25.54,25.58,0.03,11514826,19652246,0.0,0.0,0.0,1.25,unspecified,False,0.5,0.48,0.56,0.42,0.454,1.22,1.0,0.78,0.821,0.0,0.0,0.804,0.0,0.0,1.0,1.0,0.0,0.001,0.731,0.7333,0.0023,0.7333,2.2441,0.3234,25.99,-1.01,0.43,2.038,2.273,0.0005,0.7368,0.2983,0.2283,0.1148,0.5753,0.3014,3.75,0.359,rural-heavy,0.0,0.0165,0.7545,0.3648,0.489,0.029,0.7138,0.0,51.98,False
AFG,Afghanistan,Hazara,higher_fertility_path,5.25,3.72,4.5,3.42,9.0,10.15,1.15,10.15,0.0,10.12,10.19,10.12,10.19,0.07,3838275,7805752,0.0,0.0,0.0,1.25,unspecified,False,0.5,0.48,0.56,0.42,0.454,1.096,1.0,0.78,0.793,0.0,0.0,0.804,0.0,0.0,1.0,1.0,0.0,0.001,0.731,0.7333,0.0023,0.7333,2.2441,0.3234,10.16,1.16,0.01,2.038,2.273,0.0005,0.7368,0.2983,0.2283,0.1148,0.5753,0.3014,3.75,0.359,rural-heavy,0.0,0.0165,0.7545,0.3648,0.489,0.029,0.7138,0.0,51.98,False
AFG,Afghanistan,Uzbek,higher_fertility_path,4.85,3.56,4.5,3.42,9.0,9.37,0.37,9.37,0.0,9.36,9.39,9.36,9.39,0.03,3838275,7207413,0.0,0.0,0.0,1.25,unspecified,False,0.5,0.48,0.56,0.42,0.454,1.096,1.0,0.78,0.793,0.0,0.0,0.804,0.0,0.0,1.0,1.0,0.0,0.001,0.731,0.7333,0.0023,0.7333,2.2441,0.3234,9.46,0.46,0.08,2.038,2.273,0.0005,0.7368,0.2983,0.2283,0.1148,0.5753,0.3014,3.75,0.359,rural-heavy,0.0,0.0165,0.7545,0.3648,0.489,0.029,0.7138,0.0,51.98,False
AFG,Afghanistan,Aimaq,largest_baseline_category,4.5,3.42,4.5,3.42,4.0,3.79,-0.21,3.79,0.0,3.79,3.78,3.78,3.79,0.01,1705900,2911444,0.0,0.0,0.0,1.25,unspecified,False,0.5,0.48,0.56,0.42,0.454,1.013,1.0,0.78,0.775,0.0,0.0,0.804,0.0,0.0,1.0,1.0,0.0,0.001,0.731,0.7333,0.0023,0.7333,2.2441,0.3234,3.85,-0.15,0.06,2.038,2.273,0.0005,0.7368,0.2983,0.2283,0.1148,0.5753,0.3014,3.75,0.359,rural-heavy,0.0,0.0165,0.7545,0.3648,0.489,0.029,0.7138,0.0,51.98,False
AFG,Afghanistan,Turkmen,higher_fertility_path,4.85,3.56,4.5,3.42,3.0,3.12,0.12,3.12,0.0,3.12,3.13,3.12,3.13,0.01,1279425,2402471,0.0,0.0,0.0,1.25,unspecified,False,0.5,0.48,0.56,0.42,0.454,0.986,1.0,0.78,0.769,0.0,0.0,0.804,0.0,0.0,1.0,1.0,0.0,0.001,0.731,0.7333,0.0023,0.7333,2.2441,0.3234,3.15,0.15,0.03,2.038,2.273,0.0005,0.7368,0.2983,0.2283,0.1148,0.5753,0.3014,3.75,0.359,rural-heavy,0.0,0.0165,0.7545,0.3648,0.489,0.029,0.7138,0.0,51.98,False
AFG,Afghanistan,Baloch,largest_baseline_category,4.5,3.42,4.5,3.42,2.0,1.89,-0.11,1.89,0.0,1.89,1.89,1.89,1.89,0.0,852950,1455722,0.0,0.0,0.0,1.25,unspecified,False,0.5,0.48,0.56,0.42,0.454,0.952,1.0,0.78,0.761,0.0,0.0,0.804,0.0,0.0,1.0,1.0,0.0,0.001,0.731,0.7333,0.0023,0.7333,2.2441,0.3234,1.93,-0.07,0.03,2.038,2.273,0.0005,0.7368,0.2983,0.2283,0.1148,0.5753,0.3014,3.75,0.359,rural-heavy,0.0,0.0165,0.7545,0.3648,0.489,0.029,0.7138,0.0,51.98,False
AFG,Afghanistan,Nuristani,largest_baseline_category,4.5,3.42,4.5,3.42,1.0,0.95,-0.05,0.95,0.0,0.95,0.95,0.95,0.95,0.0,426475,727861,0.0,0.0,0.0,1.25,unspecified,False,0.5,0.48,0.56,0.42,0.454,0.903,1.0,0.78,0.75,0.0,0.0,0.804,0.0,0.0,1.0,1.0,0.0,0.001,0.731,0.7333,0.0023,0.7333,2.2441,0.3234,0.96,-0.04,0.02,2.038,2.273,0.0005,0.7368,0.2983,0.2283,0.1148,0.5753,0.3014,3.75,0.359,rural-heavy,0.0,0.0165,0.7545,0.3648,0.489,0.029,0.7138,0.0,51.98,False
AFG,Afghanistan,Pashayi,largest_baseline_category,4.5,3.42,4.5,3.42,1.0,0.95,-0.05,0.95,0.0,0.95,0.95,0.95,0.95,0.0,426475,727861,0.0,0.0,0.0,1.25,unspecified,False,0.5,0.48,0.56,0.42,0.454,0.903,1.0,0.78,0.75,0.0,0.0,0.804,0.0,0.0,1.0,1.0,0.0,0.001,0.731,0.7333,0.0023,0.7333,2.2441,0.3234,0.96,-0.04,0.02,2.038,2.273,0.0005,0.7368,0.2983,0.2283,0.1148,0.5753,0.3014,3.75,0.359,rural-heavy,0.0,0.0165,0.7545,0.3648,0.489,0.029,0.7138,0.0,51.98,False
AFG,Afghanistan,Other,identity_category_transition,4.5,3.42,4.5,3.42,2.0,1.91,-0.09,1.91,0.0,1.92,1.91,1.91,1.92,0.0,852950,1472093,0.0,0.0,0.0,1.25,unspecified,False,0.5,0.48,0.56,0.42,0.454,0.952,1.0,0.78,0.761,0.0,0.0,0.804,0.0,0.0,1.0,1.0,0.0,0.001,0.731,0.7333,0.0023,0.7333,2.2441,0.3234,1.95,-0.05,0.03,2.038,2.273,0.0005,0.7368,0.2983,0.2283,0.1148,0.5753,0.3014,3.75,0.359,rural-heavy,0.0,0.0165,0.7545,0.3648,0.489,0.029,0.7138,0.0,51.98,False
