Rank_Economic_Strength_2050,ISO3,Country,Population_2025,Population_2050,GDP_PPP_PerCapita_2025,GDP_PPP_PerCapita_2025_2021_IntlDollar,GDP_PPP_PerCapita_2050,GDP_PPP_PerCapita_2050_2021_IntlDollar,GDP_Nominal_PerCapita_2025,GDP_Nominal_PerCapita_2025_2021_USD,GDP_Nominal_PerCapita_2050,GDP_Nominal_PerCapita_2050_2021_USD,GDP_PPP_Total_2025,GDP_PPP_Total_2050,GDP_PPP_Total_2050_2021_IntlDollar,GDP_Nominal_Total_2025,GDP_Nominal_Total_2050,GDP_Nominal_Total_2050_2021_USD,GDP_PPP_PerCapita_P10_2050,GDP_PPP_PerCapita_P90_2050,GDP_Nominal_PerCapita_P10_2050,GDP_Nominal_PerCapita_P90_2050,Real_GDP_PerCapita_CAGR_2025_2050,Structural_GDP_PerCapita_CAGR_Signal,Income_Index_2050,Income_Index_2050_Recomputed_From_PPP,Income_Index_2050_PPP_Mismatch,CPI_U_2021_Annual_Average_2013_Base,CPI_U_2025_Annual_Average_2013_Base,Observed_Inflation_Factor_2021_2025,Long_Run_USD_Inflation_Assumption_2026_2050,Inflation_Factor_2021_to_2050,Inflation_Factor_Low_2021_to_2050,Inflation_Factor_High_2021_to_2050,PPP_to_Nominal_Ratio_2025,PPP_to_Nominal_Ratio_2050,Economic_Strength_Score_2050,Growth_Prospect_Score,Industrialization_Signal,Future_Readiness,Demographic_Dividend,Resource_Drag,Growth_Volatility,Trajectory,Baseline_Source,PPP_Baseline_Year,Nominal_Baseline_Year,PPP_Baseline_Proxy,Nominal_Baseline_Proxy,Projection_Type,Rank_GDP_PPP_PerCapita_2050,Rank_GDP_Nominal_PerCapita_2050,Rank_GDP_PPP_Total_2050,Rank_GDP_Nominal_Total_2050,Rank_Economic_Resilience_2050
1,USA,USA,346725913,380846905,88120.49,74120.13,192718.34,98804.8,88120.49,74120.13,190505.93,97670.52,30553657731826.0,73396183532504.06,37629502279144.0,30553657731826.11,72553595345551.17,37197515592979.56,147280.31,284384.64,131030.58,309231.89,0.011565,0.022639,0.991258,0.991258,-1e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,1.0,0.98852,74.58,0.6891,0.55,0.5534,0.504,0.012,0.22,slow_growth,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,10,3,3,1,1
2,CHN,China,1412848825,1260289089,28105.6,23640.25,92866.34,47611.66,13766.31,11579.15,49041.92,25143.31,39708960997428.46,117038434466707.36,60004455607177.74,19449712799323.81,61806999961007.28,31687841710050.13,70308.08,138314.42,33416.19,80346.93,0.028401,0.035597,0.886311,0.886311,0.0,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.48981,0.52809,71.49,0.7878,0.44,0.4388,0.2419,0.0131,0.22,fast_converger,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,59,59,1,2,2
3,IND,India,1459125378,1679589264,11121.25,9354.34,61523.38,31542.43,2689.36,2262.08,18404.51,9435.81,16227304306923.54,103334000204588.58,52978326788471.52,3924119131473.79,30912014919539.3,15848286380620.92,47559.2,89764.76,12804.45,29538.11,0.049821,0.037567,0.827123,0.827123,-0.0,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.24182,0.29915,66.53,0.7045,0.33,0.3316,0.4925,0.0138,0.22,accelerator,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,92,116,2,3,4
4,IDN,Indonesia,284836355,320712943,17131.08,14409.34,82917.48,42510.98,5122.36,4308.54,29568.01,15159.23,4879553882658.5,26592710635720.37,13633821505614.14,1459035237496.71,9482844769400.54,4861761357181.46,63909.68,121331.03,20510.92,47592.73,0.044225,0.039982,0.870022,0.870022,-1e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.29901,0.3566,63.3,0.789,0.4,0.3951,0.4807,0.0132,0.22,frontier_jumper,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,66,83,4,4,8
5,DEU,Germany,84302554,78294606,75500.66,63505.31,153458.59,78676.71,57274.75,48175.09,116140.63,59544.16,6364898582484.26,12014979601535.72,6159962010826.26,4828407864406.36,9093185140819.03,4661986693485.15,116059.92,228797.11,79052.89,190474.23,0.008606,0.020872,0.958512,0.958512,-0.0,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.7586,0.75682,64.95,0.6756,0.51,0.5089,0.3496,0.0117,0.22,slow_growth,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,22,22,8,5,7
6,GBR,UK,69372821,75504685,64207.63,54006.49,137518.82,70504.55,54502.68,45843.43,115871.63,59406.24,4454264474358.86,10383315468715.51,5323423838816.75,3781004579068.29,8748850569866.81,4485449741578.16,104234.6,204585.39,79044.08,189619.17,0.01072,0.021772,0.942747,0.942747,-0.0,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.84885,0.84259,65.17,0.683,0.55,0.5485,0.3675,0.0118,0.22,slow_growth,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,29,23,12,6,5
7,FRA,France,66612043,68219681,63791.58,53656.54,141609.85,72601.98,47037.35,39564.17,104769.87,53714.48,4249287532923.77,9660578930477.25,4952883915568.38,3133253755068.44,7147367084330.84,3664384890947.35,106677.49,211954.7,71032.68,172495.86,0.012169,0.020265,0.946961,0.946961,1e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.73736,0.73985,63.3,0.708,0.53,0.5299,0.2419,0.0119,0.22,slow_growth,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,26,28,14,7,8
8,JPN,Japan,122978897,105123163,55235.49,46459.82,107349.18,55036.87,34470.61,28994.01,67178.83,34441.93,6792799615917.71,11284885341749.35,5785649856019.81,4239157217126.85,7062051464392.8,3620644410715.38,80524.09,161352.87,45352.59,111071.62,0.0068,0.019928,0.907144,0.907144,-1e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.62407,0.6258,63.23,0.6399,0.53,0.5328,0.2264,0.0117,0.22,stagnant,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,46,39,9,8,10
9,BRA,Brazil,212207161,217489300,23048.64,19386.73,61042.5,31295.89,10622.9,8935.16,29178.77,14959.67,4891086034271.9,13276090556978.84,6806521208977.0,2254256183472.16,6346069783590.94,3253567636517.34,45279.74,92768.45,19479.65,48778.41,0.019341,0.030295,0.825995,0.825995,2e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.46089,0.47801,62.27,0.6813,0.37,0.3697,0.3844,0.0445,0.42,fast_converger,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,93,85,7,9,11
10,MEX,Mexico,131514162,148946266,26634.38,22402.78,73299.61,37579.99,14429.04,12136.59,41317.01,21182.82,3502798433478.58,10917703215225.2,5597399186817.34,1897622906394.2,6154013861364.05,3155102451880.6,56013.05,108172.89,28415.74,67071.54,0.020907,0.031527,0.852299,0.852299,1e-08,116.318,138.289,1.188887361,0.02,1.95049573,1.725010592,2.489266116,0.54174,0.56367,61.1,0.6886,0.38,0.3753,0.3905,0.0141,0.22,fast_converger,World Bank API,2024,2024,False,False,Independent scenario projection; constant 2021 audit values and inflation-adjusted 2050-dollar values,74,63,10,10,13
