ISO3,Country,Group,Share_2024_pct,Share_2050_pct,Change_pp,Pop_2024,Pop_2050,Rank,Anchor
AFG,Afghanistan,Pashtun,42.0,42.89,0.89,17911951,32976555,1,True
AFG,Afghanistan,Tajik,27.0,25.93,-1.07,11514826,19937771,2,False
AFG,Afghanistan,Hazara,9.0,9.25,0.25,3838275,7108479,3,False
AFG,Afghanistan,Uzbek,9.0,9.25,0.25,3838275,7108479,4,False
AFG,Afghanistan,Aimaq,4.0,3.84,-0.16,1705900,2953744,5,False
AFG,Afghanistan,Turkmen,3.0,3.08,0.08,1279425,2369493,6,False
AFG,Afghanistan,Baloch,2.0,1.92,-0.08,852950,1476872,7,False
AFG,Afghanistan,Other,2.0,1.92,-0.08,852950,1476872,8,False
AFG,Afghanistan,Nuristani,1.0,0.96,-0.04,426475,738436,9,False
AFG,Afghanistan,Pashayi,1.0,0.96,-0.04,426475,738436,10,False
AGO,Angola,Ovimbundu,37.0,38.64,1.64,14017766,28706497,1,True
AGO,Angola,Kimbundu,25.0,24.37,-0.63,9471464,18106979,2,False
AGO,Angola,Other African,17.6,17.16,-0.44,6667910,12747314,3,False
AGO,Angola,Bakongo,13.0,12.67,-0.33,4925161,9415629,4,False
AGO,Angola,Chokwe,4.4,4.29,-0.11,1666978,3186828,5,False
AGO,Angola,Mestico (mixed),2.0,1.95,-0.05,757717,1448558,6,False
AGO,Angola,European,1.0,0.92,-0.08,378859,683591,7,False
ALB,Albania,Albanian (Gheg),55.0,56.17,1.17,1535466,1258292,1,True
ALB,Albania,Albanian (Tosk),27.6,26.9,-0.7,770525,602565,2,False
ALB,Albania,Other,14.5,14.13,-0.37,404805,316565,3,False
ALB,Albania,Greek,1.7,1.56,-0.14,47460,35030,4,False
ALB,Albania,Romani / Egyptian,1.0,1.04,0.04,27918,23352,5,False
ALB,Albania,Macedonian,0.2,0.19,-0.01,5584,4366,6,False
AND,Andorra,Andorran,48.3,47.36,-0.94,39584,38937,1,True
AND,Andorra,Spanish,24.8,25.25,0.45,20325,20759,2,False
AND,Andorra,Portuguese,11.2,11.4,0.2,9179,9375,3,False
AND,Andorra,Other,11.2,11.4,0.2,9179,9375,4,False
AND,Andorra,French,4.5,4.58,0.08,3688,3767,5,False
ARE,UAE,Indian,25.8,27.87,2.07,2845001,4282733,1,True
ARE,UAE,Other foreign,20.8,20.39,-0.41,2293644,3133794,2,False
ARE,UAE,Pakistani,11.8,11.57,-0.23,1301202,1777825,3,False
ARE,UAE,Emirati,11.6,10.76,-0.84,1279148,1653151,4,False
ARE,UAE,Bangladeshi,8.5,8.33,-0.17,937306,1280637,5,False
ARE,UAE,Filipino,6.1,5.98,-0.12,672655,919045,6,False
ARE,UAE,Egyptian,4.4,4.31,-0.09,485194,662918,7,False
ARE,UAE,Nepali,3.0,2.94,-0.06,330814,451989,8,False
ARE,UAE,Other Arab,2.5,2.45,-0.05,275678,376658,9,False
ARE,UAE,Jordanian/Palestinian,2.0,1.96,-0.04,220543,301326,10,False
ARE,UAE,Sri Lankan,2.0,1.96,-0.04,220543,301326,11,False
ARE,UAE,Iranian,1.5,1.47,-0.03,165407,225995,12,False
ARG,Argentina,Italian descent,35.0,36.33,1.33,15993654,17549076,1,True
ARG,Argentina,Spanish descent,30.0,28.52,-1.48,13708846,13779752,2,False
ARG,Argentina,Other European descent,20.0,19.02,-0.98,9139231,9186501,3,False
ARG,Argentina,Mestizo/Indigenous,14.0,15.09,1.09,6397461,7287506,4,False
ARG,Argentina,East Asian,0.5,0.54,0.04,228481,262778,5,False
ARG,Argentina,Afro-Argentine,0.5,0.5,0.0,228481,243332,6,False
ARM,Armenia,Armenian,98.1,98.06,-0.04,2917340,2446687,1,True
ARM,Armenia,Other,1.5,1.58,0.08,44608,39343,2,False
ARM,Armenia,Russian,0.4,0.37,-0.03,11895,9169,3,False
ATG,Antigua & Barbuda,African descent,87.3,87.27,-0.03,81872,82959,1,True
ATG,Antigua & Barbuda,Mixed,4.7,4.56,-0.14,4408,4335,2,False
ATG,Antigua & Barbuda,Other,3.7,3.88,0.18,3470,3685,3,False
ATG,Antigua & Barbuda,Hispanic,2.7,2.83,0.13,2532,2689,4,False
ATG,Antigua & Barbuda,White,1.6,1.47,-0.13,1501,1393,5,False
AUS,Australia,English,25.9,27.41,1.51,6918720,8909376,1,True
AUS,Australia,Australian (European),21.0,19.76,-1.24,5609773,6423762,2,False
AUS,Australia,Other,15.0,15.36,0.36,4006981,4993259,3,False
AUS,Australia,Other European descent,10.1,9.5,-0.6,2698034,3089524,4,False
AUS,Australia,Chinese,5.5,5.63,0.13,1469226,1830862,5,False
AUS,Australia,Aboriginal / Torres Strait,3.9,3.93,0.03,1041815,1276016,6,False
AUS,Australia,Indian,3.1,3.17,0.07,828109,1031940,7,False
AUS,Australia,Middle Eastern,3.0,3.02,0.02,801396,981551,8,False
AUS,Australia,Italian,2.9,2.73,-0.17,774683,887091,9,False
AUS,Australia,German,2.5,2.35,-0.15,667830,764734,10,False
AUS,Australia,Filipino,1.6,1.64,0.04,427411,532614,11,False
AUS,Australia,Greek,1.4,1.32,-0.08,373985,428251,12,False
AUS,Australia,Vietnamese,1.3,1.33,0.03,347272,432749,13,False
