ISO3,Country,Group,Baseline_Evidence_Status,Projection_Evidence_Status,Uncertainty_Evidence_Status,Share_2024_pct,Share_2050_pct,Change_pp,Share_2050_WithoutMigrationResponse_pct,Migration_Attributed_Change_pp,Share_2050_WithoutSSASourcePoolTransition_pct,SSA_SourcePoolTransition_Attributed_Change_pp,Share_2050_LowMigrationScenario_pct,Share_2050_HighMigrationScenario_pct,Share_2050_Migration_P10_pct,Share_2050_Migration_P90_pct,Migration_Uncertainty_Width_pp,Pop_2024,Pop_2050,Birth_Replacement_Pressure_2050,Europe_Migration_Response_2050,Migration_Origin_Candidates,Migration_Channel_Active,Migration_SourceSupply_2050,Migration_BroadLaborMobility_2050,Migration_SkillReadiness_2050,Migration_ClimatePressure_2050,Migration_DestinationPull_2050,Migration_DiasporaNetwork_2050,Migration_CorridorAffinity_2050,Migration_SettlementRetention_2050,Migration_CorridorMultiplier_2050,BroadLabor_Migration_SourcePressure_2050,BroadLabor_Migration_ProgramIntensity_2050,SSA_LateMigration_DestinationResponse_2050,SSA_SourcePoolTransition_2050,SSA_SourcePoolCapacity_2050,AgeStructure_Youth014_2024,AgeStructure_Youth014_2050,AgeStructure_WorkingAge_2024,AgeStructure_WorkingAge_2050,AgeStructure_Elderly65Plus_2024,AgeStructure_Elderly65Plus_2050,Migration_Stock_SoftCap_2050,Migration_Linked_ResidentShare_2050,Migration_Saturation_Factor_2050,Migration_Absorption_Capacity_2050,Inclusive_Mobility_Share_2050_pct,Inclusive_Mobility_Change_pp,Inclusive_Mobility_Delta_vs_Baseline_pp,Inclusive_Mobility_IdentityFormationMultiplier,Inclusive_Mobility_MixedIdentityMultiplier,Inclusive_Mobility_IdentityTransitionRate,Inclusive_Mobility_CompositionDiversity_2050,Anchor
AFG,Afghanistan,Pashtun,compiled_category_baseline_source_review_required,cohort_informed_scenario_not_official_forecast,migration_sensitivity_range_not_calibrated_probability,42.0,41.21,-0.79,41.21,0.0,41.21,0.0,41.24,41.18,41.18,41.24,0.06,17911951,31684680,0.0,0.0,unspecified,False,0.5,0.48,0.56,0.42,0.454,1.271,1.0,0.78,0.832,0.804,0.0,0.0,1.0,0.761,42.358,43.675,55.5,51.98,2.142,4.345,0.251,0.0,1.0,0.743,41.25,-0.75,0.04,2.038,2.273,0.0005,0.7375,True
AFG,Afghanistan,Tajik,compiled_category_baseline_source_review_required,cohort_informed_scenario_not_official_forecast,migration_sensitivity_range_not_calibrated_probability,27.0,26.46,-0.54,26.46,0.0,26.46,0.0,26.48,26.44,26.44,26.48,0.04,11514826,20343735,0.0,0.0,unspecified,False,0.5,0.48,0.56,0.42,0.454,1.22,1.0,0.78,0.821,0.804,0.0,0.0,1.0,0.761,42.358,43.675,55.5,51.98,2.142,4.345,0.251,0.0,1.0,0.743,26.5,-0.5,0.04,2.038,2.273,0.0005,0.7375,False
AFG,Afghanistan,Hazara,compiled_category_baseline_source_review_required,cohort_informed_scenario_not_official_forecast,migration_sensitivity_range_not_calibrated_probability,9.0,9.97,0.97,9.97,0.0,9.97,0.0,9.93,10.0,9.93,10.0,0.07,3838275,7663327,0.0,0.0,unspecified,False,0.5,0.48,0.56,0.42,0.454,1.096,1.0,0.78,0.793,0.804,0.0,0.0,1.0,0.761,42.358,43.675,55.5,51.98,2.142,4.345,0.251,0.0,1.0,0.743,9.88,0.88,-0.09,2.038,2.273,0.0005,0.7375,False
AFG,Afghanistan,Uzbek,compiled_category_baseline_source_review_required,cohort_informed_scenario_not_official_forecast,migration_sensitivity_range_not_calibrated_probability,9.0,9.45,0.45,9.45,0.0,9.45,0.0,9.44,9.46,9.44,9.46,0.03,3838275,7265422,0.0,0.0,unspecified,False,0.5,0.48,0.56,0.42,0.454,1.096,1.0,0.78,0.793,0.804,0.0,0.0,1.0,0.761,42.358,43.675,55.5,51.98,2.142,4.345,0.251,0.0,1.0,0.743,9.42,0.42,-0.03,2.038,2.273,0.0005,0.7375,False
AFG,Afghanistan,Aimaq,compiled_category_baseline_source_review_required,cohort_informed_scenario_not_official_forecast,migration_sensitivity_range_not_calibrated_probability,4.0,3.92,-0.08,3.92,0.0,3.92,0.0,3.92,3.92,3.92,3.92,0.01,1705900,3013887,0.0,0.0,unspecified,False,0.5,0.48,0.56,0.42,0.454,1.013,1.0,0.78,0.775,0.804,0.0,0.0,1.0,0.761,42.358,43.675,55.5,51.98,2.142,4.345,0.251,0.0,1.0,0.743,3.93,-0.07,0.01,2.038,2.273,0.0005,0.7375,False
AFG,Afghanistan,Turkmen,compiled_category_baseline_source_review_required,cohort_informed_scenario_not_official_forecast,migration_sensitivity_range_not_calibrated_probability,3.0,3.15,0.15,3.15,0.0,3.15,0.0,3.15,3.15,3.15,3.15,0.01,1279425,2421807,0.0,0.0,unspecified,False,0.5,0.48,0.56,0.42,0.454,0.986,1.0,0.78,0.769,0.804,0.0,0.0,1.0,0.761,42.358,43.675,55.5,51.98,2.142,4.345,0.251,0.0,1.0,0.743,3.14,0.14,-0.01,2.038,2.273,0.0005,0.7375,False
AFG,Afghanistan,Baloch,compiled_category_baseline_source_review_required,cohort_informed_scenario_not_official_forecast,migration_sensitivity_range_not_calibrated_probability,2.0,1.96,-0.04,1.96,0.0,1.96,0.0,1.96,1.96,1.96,1.96,0.0,852950,1506943,0.0,0.0,unspecified,False,0.5,0.48,0.56,0.42,0.454,0.952,1.0,0.78,0.761,0.804,0.0,0.0,1.0,0.761,42.358,43.675,55.5,51.98,2.142,4.345,0.251,0.0,1.0,0.743,1.96,-0.04,0.0,2.038,2.273,0.0005,0.7375,False
AFG,Afghanistan,Nuristani,compiled_category_baseline_source_review_required,cohort_informed_scenario_not_official_forecast,migration_sensitivity_range_not_calibrated_probability,1.0,0.98,-0.02,0.98,0.0,0.98,0.0,0.98,0.98,0.98,0.98,0.0,426475,753472,0.0,0.0,unspecified,False,0.5,0.48,0.56,0.42,0.454,0.903,1.0,0.78,0.75,0.804,0.0,0.0,1.0,0.761,42.358,43.675,55.5,51.98,2.142,4.345,0.251,0.0,1.0,0.743,0.98,-0.02,0.0,2.038,2.273,0.0005,0.7375,False
AFG,Afghanistan,Pashayi,compiled_category_baseline_source_review_required,cohort_informed_scenario_not_official_forecast,migration_sensitivity_range_not_calibrated_probability,1.0,0.98,-0.02,0.98,0.0,0.98,0.0,0.98,0.98,0.98,0.98,0.0,426475,753472,0.0,0.0,unspecified,False,0.5,0.48,0.56,0.42,0.454,0.903,1.0,0.78,0.75,0.804,0.0,0.0,1.0,0.761,42.358,43.675,55.5,51.98,2.142,4.345,0.251,0.0,1.0,0.743,0.98,-0.02,0.0,2.038,2.273,0.0005,0.7375,False
AFG,Afghanistan,Other,compiled_category_baseline_source_review_required,cohort_informed_scenario_not_official_forecast,migration_sensitivity_range_not_calibrated_probability,2.0,1.92,-0.08,1.92,0.0,1.92,0.0,1.92,1.92,1.92,1.92,0.0,852950,1478391,0.0,0.0,unspecified,False,0.5,0.48,0.56,0.42,0.454,0.952,1.0,0.78,0.761,0.804,0.0,0.0,1.0,0.761,42.358,43.675,55.5,51.98,2.142,4.345,0.251,0.0,1.0,0.743,1.95,-0.05,0.03,2.038,2.273,0.0005,0.7375,False
AGO,Angola,Ovimbundu,compiled_category_baseline_source_review_required,cohort_informed_scenario_not_official_forecast,migration_sensitivity_range_not_calibrated_probability,37.0,37.44,0.44,37.44,0.0,37.44,0.0,37.44,37.44,37.44,37.44,0.0,14017766,27813292,0.0,0.0,unspecified,False,0.5,0.48,0.56,0.42,0.454,1.257,1.0,0.78,0.829,0.784,0.0,0.0,1.0,0.761,43.0,44.72,55.0,51.16,2.0,4.12,0.251,0.0,1.0,0.809,37.19,0.19,-0.25,2.165,2.3,0.0005,0.7494,True
AGO,Angola,Kimbundu,compiled_category_baseline_source_review_required,cohort_informed_scenario_not_official_forecast,migration_sensitivity_range_not_calibrated_probability,25.0,24.99,-0.01,24.99,0.0,24.99,0.0,24.99,24.99,24.99,24.99,0.0,9471464,18565029,0.0,0.0,unspecified,False,0.5,0.48,0.56,0.42,0.454,1.211,1.0,0.78,0.819,0.784,0.0,0.0,1.0,0.761,43.0,44.72,55.0,51.16,2.0,4.12,0.251,0.0,1.0,0.809,24.99,-0.01,-0.0,2.165,2.3,0.0005,0.7494,False
AGO,Angola,Bakongo,compiled_category_baseline_source_review_required,cohort_informed_scenario_not_official_forecast,migration_sensitivity_range_not_calibrated_probability,13.0,12.99,-0.01,12.99,0.0,12.99,0.0,12.99,12.99,12.99,12.99,0.0,4925161,9653815,0.0,0.0,unspecified,False,0.5,0.48,0.56,0.42,0.454,1.137,1.0,0.78,0.802,0.784,0.0,0.0,1.0,0.761,43.0,44.72,55.0,51.16,2.0,4.12,0.251,0.0,1.0,0.809,12.99,-0.01,-0.0,2.165,2.3,0.0005,0.7494,False
AGO,Angola,Chokwe,compiled_category_baseline_source_review_required,cohort_informed_scenario_not_official_forecast,migration_sensitivity_range_not_calibrated_probability,4.4,4.4,-0.0,4.4,0.0,4.4,0.0,4.4,4.4,4.4,4.4,0.0,1666978,3267445,0.0,0.0,unspecified,False,0.5,0.48,0.56,0.42,0.454,1.022,1.0,0.78,0.777,0.784,0.0,0.0,1.0,0.761,43.0,44.72,55.0,51.16,2.0,4.12,0.251,0.0,1.0,0.809,4.4,-0.0,-0.0,2.165,2.3,0.0005,0.7494,False
AGO,Angola,Mestico (mixed),compiled_category_baseline_source_review_required,cohort_informed_scenario_not_official_forecast,migration_sensitivity_range_not_calibrated_probability,2.0,2.0,-0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,757717,1485202,0.0,0.0,unspecified,False,0.5,0.48,0.56,0.42,0.454,0.952,1.0,0.78,0.761,0.784,0.0,0.0,1.0,0.761,43.0,44.72,55.0,51.16,2.0,4.12,0.251,0.0,1.0,0.809,2.0,-0.0,-0.0,2.165,2.3,0.0005,0.7494,False
AGO,Angola,European,compiled_category_baseline_source_review_required,cohort_informed_scenario_not_official_forecast,migration_sensitivity_range_not_calibrated_probability,1.0,0.93,-0.07,0.93,0.0,0.93,0.0,0.93,0.93,0.93,0.93,0.0,378859,692112,0.0,0.0,unspecified,False,0.5,0.48,0.56,0.42,0.454,0.903,1.0,0.78,0.75,0.784,0.0,0.0,1.0,0.761,43.0,44.72,55.0,51.16,2.0,4.12,0.251,0.0,1.0,0.809,0.94,-0.06,0.01,2.165,2.3,0.0005,0.7494,False
AGO,Angola,Other African,compiled_category_baseline_source_review_required,cohort_informed_scenario_not_official_forecast,migration_sensitivity_range_not_calibrated_probability,17.6,17.25,-0.35,17.25,0.0,17.25,0.0,17.25,17.25,17.25,17.25,0.0,6667910,12818502,0.0,0.0,unspecified,False,0.5,0.48,0.56,0.42,0.454,1.171,1.0,0.78,0.81,0.784,0.0,0.0,1.0,0.761,43.0,44.72,55.0,51.16,2.0,4.12,0.251,0.0,1.0,0.809,17.5,-0.1,0.25,2.165,2.3,0.0005,0.7494,False
ALB,Albania,Albanian (Gheg),compiled_category_baseline_source_review_required,cohort_informed_scenario_not_official_forecast,migration_sensitivity_range_not_calibrated_probability,55.0,54.62,-0.38,55.28,-0.67,54.62,0.0,54.82,54.37,54.37,54.82,0.45,1535466,1223503,0.525,0.15,unspecified,False,0.5,0.48,0.56,0.42,0.751,1.3,1.0,0.78,1.027,0.0,0.0,0.0,1.0,0.761,16.849,9.04,63.5,62.3,19.651,28.66,0.251,0.0,1.0,0.867,54.4,-0.6,-0.21,2.043,2.09,0.0005,0.6055,True
ALB,Albania,Albanian (Tosk),compiled_category_baseline_source_review_required,cohort_informed_scenario_not_official_forecast,migration_sensitivity_range_not_calibrated_probability,27.6,27.21,-0.39,27.55,-0.34,27.21,0.0,27.32,27.09,27.09,27.32,0.23,770525,609655,0.525,0.15,unspecified,False,0.5,0.48,0.56,0.42,0.751,1.222,1.0,0.78,0.999,0.0,0.0,0.0,1.0,0.761,16.849,9.04,63.5,62.3,19.651,28.66,0.251,0.0,1.0,0.867,27.21,-0.39,-0.0,2.043,2.09,0.0005,0.6055,False
