ISO3,Country,Group,Share_2024_pct,Share_2050_pct,Change_pp,Pop_2024,Pop_2050,Anchor
AFG,Afghanistan,Pashtun,42.0,42.3,0.3,17911951,32522273,True
AFG,Afghanistan,Tajik,27.0,25.56,-1.44,11514826,19652246,False
AFG,Afghanistan,Hazara,9.0,10.15,1.15,3838275,7805752,False
AFG,Afghanistan,Uzbek,9.0,9.37,0.37,3838275,7207413,False
AFG,Afghanistan,Aimaq,4.0,3.79,-0.21,1705900,2911444,False
AFG,Afghanistan,Turkmen,3.0,3.12,0.12,1279425,2402471,False
AFG,Afghanistan,Baloch,2.0,1.89,-0.11,852950,1455722,False
AFG,Afghanistan,Nuristani,1.0,0.95,-0.05,426475,727861,False
AFG,Afghanistan,Pashayi,1.0,0.95,-0.05,426475,727861,False
AFG,Afghanistan,Other,2.0,1.91,-0.09,852950,1472093,False
AGO,Angola,Ovimbundu,37.0,38.58,1.58,14017766,28661708,True
AGO,Angola,Kimbundu,25.0,24.33,-0.67,9471464,18077397,False
AGO,Angola,Bakongo,13.0,12.65,-0.35,4925161,9400246,False
AGO,Angola,Chokwe,4.4,4.28,-0.12,1666978,3181622,False
AGO,Angola,Mestico (mixed),2.0,1.95,-0.05,757717,1446192,False
AGO,Angola,European,1.0,0.89,-0.11,378859,658619,False
AGO,Angola,Other African,17.6,17.32,-0.28,6667910,12869614,False
ALB,Albania,Albanian (Gheg),55.0,55.44,0.44,1535466,1242028,True
ALB,Albania,Albanian (Tosk),27.6,26.54,-1.06,770525,594599,False
ALB,Albania,Greek,1.7,1.31,-0.39,47460,29361,False
ALB,Albania,Romani / Egyptian,1.0,1.34,0.34,27918,29932,False
ALB,Albania,Macedonian,0.2,0.19,-0.01,5584,4309,False
ALB,Albania,Other,14.5,15.17,0.67,404805,339942,False
AND,Andorra,Andorran,48.3,46.34,-1.96,39584,38096,True
AND,Andorra,Spanish,24.8,25.42,0.62,20325,20895,False
AND,Andorra,Portuguese,11.2,11.48,0.28,9179,9436,False
AND,Andorra,French,4.5,4.61,0.11,3688,3791,False
AND,Andorra,Other,11.2,12.16,0.96,9179,9995,False
ARE,UAE,Emirati,11.6,11.01,-0.59,1279148,1691885,False
ARE,UAE,Indian,25.8,27.34,1.54,2845001,4201241,True
ARE,UAE,Pakistani,11.8,11.33,-0.47,1301202,1741759,False
ARE,UAE,Bangladeshi,8.5,8.16,-0.34,937306,1254657,False
ARE,UAE,Filipino,6.1,5.86,-0.24,672655,900401,False
ARE,UAE,Egyptian,4.4,5.02,0.62,485194,772090,False
ARE,UAE,Nepali,3.0,2.88,-0.12,330814,442820,False
ARE,UAE,Jordanian/Palestinian,2.0,1.92,-0.08,220543,295213,False
ARE,UAE,Sri Lankan,2.0,1.92,-0.08,220543,295213,False
ARE,UAE,Other Arab,2.5,2.85,0.35,275678,438687,False
ARE,UAE,Iranian,1.5,1.71,0.21,165407,263212,False
ARE,UAE,Other foreign,20.8,19.98,-0.82,2293644,3070219,False
ARG,Argentina,Italian descent,35.0,35.14,0.14,15993654,16976479,True
ARG,Argentina,Spanish descent,30.0,27.54,-2.46,13708846,13306447,False
