ISO3,Country,Group,Profile,TFR_2024,TFR_2050,Nat_TFR_2024,Nat_TFR_2050,Share_2024_pct,Share_2050_pct,Change_pp,Share_2050_WithoutMigrationResponse_pct,Migration_Attributed_Change_pp,Share_2050_WithoutSSASourcePoolTransition_pct,SSA_SourcePoolTransition_Attributed_Change_pp,Share_2050_LowMigrationScenario_pct,Share_2050_HighMigrationScenario_pct,Share_2050_Migration_P10_pct,Share_2050_Migration_P90_pct,Migration_Uncertainty_Width_pp,Brazilification_Share_2050_pct,Brazilification_Change_pp,Brazilification_Delta_vs_Baseline_pp,Pop_2024,Pop_2050,Demographic_Pressure,Birth_Replacement_Pressure_2050,Europe_Migration_Response_2050,Migration_Intensity_2050,Migration_Origin_Candidates,Migration_Channel_Active,Migration_SourceSupply_2050,Migration_BroadLaborMobility_2050,Migration_SkillReadiness_2050,Migration_ClimatePressure_2050,Migration_DestinationPull_2050,Migration_DiasporaNetwork_2050,Migration_CorridorAffinity_2050,Migration_SettlementRetention_2050,Migration_CorridorMultiplier_2050,Skilled_Migration_SourcePressure_2050,Skilled_Migration_ProgramIntensity_2050,BroadLabor_Migration_SourcePressure_2050,BroadLabor_Migration_ProgramIntensity_2050,SSA_LateMigration_DestinationResponse_2050,SSA_SourcePoolTransition_2050,SSA_SourcePoolCapacity_2050,AgeStructure_Youth014_2024,AgeStructure_Youth014_2050,AgeStructure_WorkingAge_2024,AgeStructure_WorkingAge_2050,AgeStructure_Elderly65Plus_2024,AgeStructure_Elderly65Plus_2050,Migration_Stock_SoftCap_2050,Migration_Linked_ResidentShare_2050,Migration_Saturation_Factor_2050,Migration_Absorption_Capacity_2050,Policy_Openness,Policy_Feedback_2050,Intermarriage_Coefficient,Assimilation_Coefficient,Diversity_Index_2024,Diversity_Index_2050,Diversity_Index_Change,Ethnic_Fractionalization_2050,Ethnolinguistic_Polarization_RQ_2050,Structural_Inequality_Drag_2050,Brazilification_IntermarriageMultiplier,Brazilification_MixedIdentityMultiplier,Brazilification_AssimilationRate,Brazilification_Diversity_Index_2050,Inclusive_Mobility_Share_2050_pct,Inclusive_Mobility_Change_pp,Inclusive_Mobility_Delta_vs_Baseline_pp,Inclusive_Mobility_IdentityFormationMultiplier,Inclusive_Mobility_MixedIdentityMultiplier,Inclusive_Mobility_IdentityTransitionRate,Inclusive_Mobility_CompositionDiversity_2050,Intergenerational_Mobility_Convergence_2050,Subnational_Regional_Concentration_2050,Climate_Migration_Stress_2050,Language_Cultural_Integration_2050,Language_Cultural_Friction_2050,Effective_Groups_2050,Urbanization_2024,Urbanization_Layer,Urban_Absorption_Pressure,HDI_2050_Gain_Link,HDI_HealthIndex_2050_Link,HDI_EducationIndex_2050_Link,HDI_IncomeIndex_2050_Link,HDI_HumanCapitalAbsorption_Link,HDI_DependencyPressure_Link,HDI_AgingPressure_Link,HDI_WorkingAgePct_2050_Link,Anchor
AFG,Afghanistan,Pashtun,majority,4.5,3.42,4.5,3.42,42.0,41.21,-0.79,41.21,0.0,41.21,0.0,41.24,41.18,41.18,41.24,0.06,41.25,-0.75,0.04,17911951,31684680,0.0,0.0,0.0,1.25,unspecified,False,0.5,0.48,0.56,0.42,0.454,1.271,1.0,0.78,0.832,0.0,0.0,0.804,0.0,0.0,1.0,0.761,42.358,43.675,55.5,51.98,2.142,4.345,0.251,0.0,1.0,0.743,1.0,1.0,0.0,0.001,0.731,0.7378,0.0068,0.7378,2.2644,0.3234,2.038,2.273,0.0005,0.7375,41.25,-0.75,0.04,2.038,2.273,0.0005,0.7375,0.2983,0.2283,0.1148,0.5753,0.3014,3.81,0.359,rural-heavy,0.0,0.0165,0.7545,0.3648,0.489,0.029,0.7138,0.0,51.98,True
AFG,Afghanistan,Tajik,majority,4.5,3.42,4.5,3.42,27.0,26.46,-0.54,26.46,0.0,26.46,0.0,26.48,26.44,26.44,26.48,0.04,26.5,-0.5,0.04,11514826,20343735,0.0,0.0,0.0,1.25,unspecified,False,0.5,0.48,0.56,0.42,0.454,1.22,1.0,0.78,0.821,0.0,0.0,0.804,0.0,0.0,1.0,0.761,42.358,43.675,55.5,51.98,2.142,4.345,0.251,0.0,1.0,0.743,1.0,1.0,0.0,0.001,0.731,0.7378,0.0068,0.7378,2.2644,0.3234,2.038,2.273,0.0005,0.7375,26.5,-0.5,0.04,2.038,2.273,0.0005,0.7375,0.2983,0.2283,0.1148,0.5753,0.3014,3.81,0.359,rural-heavy,0.0,0.0165,0.7545,0.3648,0.489,0.029,0.7138,0.0,51.98,False
AFG,Afghanistan,Hazara,high_fertility,5.25,3.72,4.5,3.42,9.0,9.97,0.97,9.97,0.0,9.97,0.0,9.93,10.0,9.93,10.0,0.07,9.88,0.88,-0.09,3838275,7663327,0.0,0.0,0.0,1.25,unspecified,False,0.5,0.48,0.56,0.42,0.454,1.096,1.0,0.78,0.793,0.0,0.0,0.804,0.0,0.0,1.0,0.761,42.358,43.675,55.5,51.98,2.142,4.345,0.251,0.0,1.0,0.743,1.0,1.0,0.0,0.001,0.731,0.7378,0.0068,0.7378,2.2644,0.3234,2.038,2.273,0.0005,0.7375,9.88,0.88,-0.09,2.038,2.273,0.0005,0.7375,0.2983,0.2283,0.1148,0.5753,0.3014,3.81,0.359,rural-heavy,0.0,0.0165,0.7545,0.3648,0.489,0.029,0.7138,0.0,51.98,False
AFG,Afghanistan,Uzbek,high_fertility,4.85,3.56,4.5,3.42,9.0,9.45,0.45,9.45,0.0,9.45,0.0,9.44,9.46,9.44,9.46,0.03,9.42,0.42,-0.03,3838275,7265422,0.0,0.0,0.0,1.25,unspecified,False,0.5,0.48,0.56,0.42,0.454,1.096,1.0,0.78,0.793,0.0,0.0,0.804,0.0,0.0,1.0,0.761,42.358,43.675,55.5,51.98,2.142,4.345,0.251,0.0,1.0,0.743,1.0,1.0,0.0,0.001,0.731,0.7378,0.0068,0.7378,2.2644,0.3234,2.038,2.273,0.0005,0.7375,9.42,0.42,-0.03,2.038,2.273,0.0005,0.7375,0.2983,0.2283,0.1148,0.5753,0.3014,3.81,0.359,rural-heavy,0.0,0.0165,0.7545,0.3648,0.489,0.029,0.7138,0.0,51.98,False
AFG,Afghanistan,Aimaq,majority,4.5,3.42,4.5,3.42,4.0,3.92,-0.08,3.92,0.0,3.92,0.0,3.92,3.92,3.92,3.92,0.01,3.93,-0.07,0.01,1705900,3013887,0.0,0.0,0.0,1.25,unspecified,False,0.5,0.48,0.56,0.42,0.454,1.013,1.0,0.78,0.775,0.0,0.0,0.804,0.0,0.0,1.0,0.761,42.358,43.675,55.5,51.98,2.142,4.345,0.251,0.0,1.0,0.743,1.0,1.0,0.0,0.001,0.731,0.7378,0.0068,0.7378,2.2644,0.3234,2.038,2.273,0.0005,0.7375,3.93,-0.07,0.01,2.038,2.273,0.0005,0.7375,0.2983,0.2283,0.1148,0.5753,0.3014,3.81,0.359,rural-heavy,0.0,0.0165,0.7545,0.3648,0.489,0.029,0.7138,0.0,51.98,False
AFG,Afghanistan,Turkmen,high_fertility,4.85,3.56,4.5,3.42,3.0,3.15,0.15,3.15,0.0,3.15,0.0,3.15,3.15,3.15,3.15,0.01,3.14,0.14,-0.01,1279425,2421807,0.0,0.0,0.0,1.25,unspecified,False,0.5,0.48,0.56,0.42,0.454,0.986,1.0,0.78,0.769,0.0,0.0,0.804,0.0,0.0,1.0,0.761,42.358,43.675,55.5,51.98,2.142,4.345,0.251,0.0,1.0,0.743,1.0,1.0,0.0,0.001,0.731,0.7378,0.0068,0.7378,2.2644,0.3234,2.038,2.273,0.0005,0.7375,3.14,0.14,-0.01,2.038,2.273,0.0005,0.7375,0.2983,0.2283,0.1148,0.5753,0.3014,3.81,0.359,rural-heavy,0.0,0.0165,0.7545,0.3648,0.489,0.029,0.7138,0.0,51.98,False
AFG,Afghanistan,Baloch,majority,4.5,3.42,4.5,3.42,2.0,1.96,-0.04,1.96,0.0,1.96,0.0,1.96,1.96,1.96,1.96,0.0,1.96,-0.04,0.0,852950,1506943,0.0,0.0,0.0,1.25,unspecified,False,0.5,0.48,0.56,0.42,0.454,0.952,1.0,0.78,0.761,0.0,0.0,0.804,0.0,0.0,1.0,0.761,42.358,43.675,55.5,51.98,2.142,4.345,0.251,0.0,1.0,0.743,1.0,1.0,0.0,0.001,0.731,0.7378,0.0068,0.7378,2.2644,0.3234,2.038,2.273,0.0005,0.7375,1.96,-0.04,0.0,2.038,2.273,0.0005,0.7375,0.2983,0.2283,0.1148,0.5753,0.3014,3.81,0.359,rural-heavy,0.0,0.0165,0.7545,0.3648,0.489,0.029,0.7138,0.0,51.98,False
AFG,Afghanistan,Nuristani,majority,4.5,3.42,4.5,3.42,1.0,0.98,-0.02,0.98,0.0,0.98,0.0,0.98,0.98,0.98,0.98,0.0,0.98,-0.02,0.0,426475,753472,0.0,0.0,0.0,1.25,unspecified,False,0.5,0.48,0.56,0.42,0.454,0.903,1.0,0.78,0.75,0.0,0.0,0.804,0.0,0.0,1.0,0.761,42.358,43.675,55.5,51.98,2.142,4.345,0.251,0.0,1.0,0.743,1.0,1.0,0.0,0.001,0.731,0.7378,0.0068,0.7378,2.2644,0.3234,2.038,2.273,0.0005,0.7375,0.98,-0.02,0.0,2.038,2.273,0.0005,0.7375,0.2983,0.2283,0.1148,0.5753,0.3014,3.81,0.359,rural-heavy,0.0,0.0165,0.7545,0.3648,0.489,0.029,0.7138,0.0,51.98,False
AFG,Afghanistan,Pashayi,majority,4.5,3.42,4.5,3.42,1.0,0.98,-0.02,0.98,0.0,0.98,0.0,0.98,0.98,0.98,0.98,0.0,0.98,-0.02,0.0,426475,753472,0.0,0.0,0.0,1.25,unspecified,False,0.5,0.48,0.56,0.42,0.454,0.903,1.0,0.78,0.75,0.0,0.0,0.804,0.0,0.0,1.0,0.761,42.358,43.675,55.5,51.98,2.142,4.345,0.251,0.0,1.0,0.743,1.0,1.0,0.0,0.001,0.731,0.7378,0.0068,0.7378,2.2644,0.3234,2.038,2.273,0.0005,0.7375,0.98,-0.02,0.0,2.038,2.273,0.0005,0.7375,0.2983,0.2283,0.1148,0.5753,0.3014,3.81,0.359,rural-heavy,0.0,0.0165,0.7545,0.3648,0.489,0.029,0.7138,0.0,51.98,False
AFG,Afghanistan,Other,assimilating,4.5,3.42,4.5,3.42,2.0,1.92,-0.08,1.92,0.0,1.92,0.0,1.92,1.92,1.92,1.92,0.0,1.95,-0.05,0.03,852950,1478391,0.0,0.0,0.0,1.25,unspecified,False,0.5,0.48,0.56,0.42,0.454,0.952,1.0,0.78,0.761,0.0,0.0,0.804,0.0,0.0,1.0,0.761,42.358,43.675,55.5,51.98,2.142,4.345,0.251,0.0,1.0,0.743,1.0,1.0,0.0,0.001,0.731,0.7378,0.0068,0.7378,2.2644,0.3234,2.038,2.273,0.0005,0.7375,1.95,-0.05,0.03,2.038,2.273,0.0005,0.7375,0.2983,0.2283,0.1148,0.5753,0.3014,3.81,0.359,rural-heavy,0.0,0.0165,0.7545,0.3648,0.489,0.029,0.7138,0.0,51.98,False
