ISO3,Country,Top1,Top1_2050_pct,Top2,Top2_2050_pct,Top3,Top3_2050_pct,Top4,Top4_2050_pct,Top5,Top5_2050_pct
AFG,Afghanistan,Pashtun,42.3,Tajik,25.6,Hazara,10.2,Uzbek,9.4,Aimaq,3.8
AGO,Angola,Ovimbundu,38.6,Kimbundu,24.3,Other African,17.3,Bakongo,12.7,Chokwe,4.3
ALB,Albania,Albanian (Gheg),55.2,Albanian (Tosk),26.4,Other,15.5,Romani / Egyptian,1.3,Greek,1.3
AND,Andorra,Andorran,46.0,Spanish,25.6,Other,12.2,Portuguese,11.5,French,4.6
ARE,UAE,Indian,27.7,Other foreign,20.4,Pakistani,11.7,Emirati,10.5,Bangladeshi,8.3
ARG,Argentina,Italian descent,35.1,Spanish descent,27.6,Mestizo/Indigenous,18.6,Other European descent,17.5,East Asian,0.7
ARM,Armenia,Armenian,97.9,Other,1.4,Yazidi (Kurdish),0.4,Russian,0.3,,
ATG,Antigua & Barbuda,African descent,87.1,Mixed,4.6,Other,4.1,Hispanic,3.0,White,1.1
AUS,Australia,English,24.7,Australian (European),17.7,Other,16.0,Other European descent,8.5,Chinese,6.3
AUT,Austria,Austrian,76.7,Other,6.7,Turkish,3.2,Serbian,2.4,German,2.4
AZE,Azerbaijan,Azerbaijani,91.1,Other,2.4,Lezgin,2.3,Talysh,1.5,Russian,1.0
BDI,Burundi,Hutu,85.4,Tutsi,13.6,Twa,1.0,,,,
BEL,Belgium,Flemish,48.4,Other,21.0,Walloon,15.6,Moroccan,3.3,Italian,2.7
BEN,Benin,Fon,39.4,Adja,14.5,Yoruba,11.5,Fulani (Peulh),9.6,Bariba,9.2
BFA,Burkina Faso,Mossi,52.5,Other,12.6,Fulani,9.4,Gurma,6.7,Bobo,4.7
BGD,Bangladesh,Bengali,97.9,Other,0.8,Chakma,0.5,Santal,0.3,Bihari (Urdu-speaking),0.3
BGR,Bulgaria,Bulgarian,79.8,Turkish,11.0,Romani,6.7,Other,1.6,Russian,0.6
BHR,Bahrain,Bahraini,48.6,Indian,12.9,Other foreign,12.7,Bangladeshi,9.0,Pakistani,6.0
BHS,Bahamas,Black,90.7,Other,5.4,Mixed,2.5,White,1.4,,
