ISO3,Country,Top1,Top1_2050_pct,Top2,Top2_2050_pct,Top3,Top3_2050_pct,Top4,Top4_2050_pct,Top5,Top5_2050_pct
AFG,Afghanistan,Pashtun,42.9,Tajik,25.9,Hazara,9.2,Uzbek,9.2,Aimaq,3.8
AGO,Angola,Ovimbundu,38.6,Kimbundu,24.4,Other African,17.2,Bakongo,12.7,Chokwe,4.3
ALB,Albania,Albanian (Gheg),56.2,Albanian (Tosk),26.9,Other,14.1,Greek,1.6,Romani / Egyptian,1.0
AND,Andorra,Andorran,47.4,Spanish,25.2,Portuguese,11.4,Other,11.4,French,4.6
ARE,UAE,Indian,27.9,Other foreign,20.4,Pakistani,11.6,Emirati,10.8,Bangladeshi,8.3
ARG,Argentina,Italian descent,36.3,Spanish descent,28.5,Other European descent,19.0,Mestizo/Indigenous,15.1,East Asian,0.5
ARM,Armenia,Armenian,98.1,Other,1.6,Russian,0.4,,,,
ATG,Antigua & Barbuda,African descent,87.3,Mixed,4.6,Other,3.9,Hispanic,2.8,White,1.5
AUS,Australia,English,27.4,Australian (European),19.8,Other,15.4,Other European descent,9.5,Chinese,5.6
AUT,Austria,Austrian,80.2,Other,10.9,Turkish,2.6,German,2.4,Serbian,2.3
AZE,Azerbaijan,Azerbaijani,91.4,Other,4.0,Lezgin,2.1,Talysh,1.4,Russian,1.2
BDI,Burundi,Hutu,85.4,Tutsi,13.6,Twa,1.0,,,,
BEL,Belgium,Flemish,50.2,Other,20.0,Walloon,16.2,Italian,2.9,Moroccan,2.5
BEN,Benin,Fon,39.8,Adja,14.6,Yoruba,11.6,Bariba,9.3,Fulani (Peulh),8.9
BFA,Burkina Faso,Mossi,52.9,Other,12.6,Fulani,8.7,Gurma,6.8,Bobo,4.8
BGD,Bangladesh,Bengali,98.0,Other,0.8,Chakma,0.4,Santal,0.3,Bihari (Urdu-speaking),0.3
BGR,Bulgaria,Bulgarian,84.3,Turkish,9.1,Romani,5.0,Other,1.6,,
BHR,Bahrain,Bahraini,48.9,Other foreign,13.0,Indian,12.9,Bangladeshi,8.9,Pakistani,5.9
BHS,Bahamas,Black,90.6,Other,5.0,Mixed,2.4,White,1.9,,
BIH,Bosnia & Herzegovina,Bosniak,52.1,Serb,29.4,Croat,14.7,Other,3.8,,
BLR,Belarus,Belarusian,84.3,Russian,7.7,Other,3.4,Polish,2.9,Ukrainian,1.8
BLZ,Belize,Mestizo,53.7,Creole,25.1,Maya: Q'eqchi',6.5,Garifuna,5.9,Maya: Yucatec/Mopan,5.2
BOL,Bolivia,Mestizo,67.8,Quechua,11.3,Aymara,9.2,Other Indigenous,7.2,White,4.5
BRA,Brazil,Pardo (Mixed Euro/African/Indigenous),48.2,White: Portuguese descent,22.3,Black (African descent),7.7,White: Italian descent,7.1,White: German descent,4.0
BRB,Barbados,Black,92.7,Mixed,3.0,White,2.5,East Indian,1.3,Other,0.5
BRN,Brunei,Malay,67.2,Other foreign workers,20.8,Chinese,8.9,Indigenous (Dusun/Iban/etc.),3.1,,
BTN,Bhutan,Ngalop (Bhote),51.3,Lhotshampa (Nepali),34.1,Sharchop,12.7,Other,1.9,,
BWA,Botswana,Tswana (Batswana),79.6,Kalanga,10.7,Basarwa (San),2.9,Kgalagadi,1.9,Other,1.9
CAF,Central African Rep.,Baya,34.7,Banda,26.3,Mandjia,12.7,Sara,9.7,Mboum,6.8
CAN,Canada,White (European),66.1,South Asian,7.8,Other,6.6,Indigenous,5.1,Chinese,5.1
CHE,Switzerland,Swiss,68.2,Other,14.5,German,4.3,Italian,3.3,Portuguese,2.6
CHL,Chile,White (Spanish/European descent),59.2,Mestizo,28.9,Mapuche,9.7,Aymara,1.1,Other indigenous,0.8
CHN,China,Han Chinese,90.9,Other,2.6,Zhuang,1.4,Hui (Chinese Muslim),0.8,Uyghur,0.8
CIV,Cote d'Ivoire,Akan (Baoule/Agni),30.7,Other,21.1,Voltaique/Gur,15.7,Northern Mande (Malinke),14.1,Krou (Bete),8.3
CMR,Cameroon,Bamileke-Bamum,26.1,Other,19.2,Fang-Beti,19.0,Biu-Mandara,14.1,Arab-Choa/Hausa,11.1
COD,Congo (DRC),Other,22.3,Luba,17.4,Kongo,15.5,Mongo,13.3,Banyarwanda,10.7
COG,Congo,Kongo,49.8,Sangha,18.6,Teke,14.1,M'Bochi,12.0,Punu,2.9
COL,Colombia,Mestizo and White,84.2,Afro-Colombian,6.9,Other,4.5,Indigenous (Wayuu/Embera/etc.),4.4,,
COM,Comoros,Comorian (Antalote/Cafre/Makoa),97.1,Makua / Other,2.9,,,,,,
CPV,Cape Verde,Creole (Mulatto),71.8,African,27.3,European,0.9,,,,
CRI,Costa Rica,White or Mestizo,83.5,Mulatto,6.5,Other (incl. Nicaraguans),6.5,Indigenous (Bribri/Cabecar),2.5,Black,1.1
CUB,Cuba,White (Spanish descent),63.7,Mulatto (Mixed),26.9,Black,9.4,,,,
CYP,Cyprus,Greek Cypriot,76.4,Turkish Cypriot,18.5,Foreign residents,5.2,,,,
CZE,Czechia,Czech,75.5,Other,9.3,Moravian,4.8,Ukrainian,4.2,Slovak,2.4
DEU,Germany,German,82.8,Other,11.0,Turkish,2.5,Syrian,1.4,Polish,1.2
DJI,Djibouti,Somali (Issa),61.0,Afar,34.1,Other (French/Ethiopian),3.0,Arab,1.9,,
DMA,Dominica,Black,86.9,Mixed,8.9,Indigenous (Kalinago),2.8,Other,1.4,,
DNK,Denmark,Danish,82.4,Other Nordic/European,4.2,Other Middle Eastern/African/Asian,3.8,Other,2.9,Polish,1.4
DOM,Dominican Rep.,Mixed (Mulatto),71.7,Black,15.5,White,12.5,Other,0.3,,
DZA,Algeria,Arab,68.8,Amazigh (Kabyle/Chaoui),29.2,Other,1.5,European,0.5,,
ECU,Ecuador,Mestizo,72.2,Afroecuadorian,7.5,Amerindian,7.2,Montubio,7.2,White,5.6
EGY,Egypt,Egyptian (Muslim),86.3,Egyptian (Coptic Christian),9.7,Other Arab,2.0,Nubian,1.0,Bedouin Arab,1.0
ERI,Eritrea,Tigrinya,55.0,Tigre,30.6,Saho,3.8,Other,3.3,Kunama,1.9
ESP,Spain,Spanish,78.5,Other,10.8,Latin American,5.2,Moroccan,2.4,Romanian,2.0
EST,Estonia,Estonian,70.5,Russian,22.0,Other,4.3,Ukrainian,2.2,Belarusian,0.9
ETH,Ethiopia,Oromo,37.3,Amhara,23.4,Other,13.0,Somali,7.5,Tigray,5.5
FIN,Finland,Finnish,86.7,Other,5.8,Swedish-speaking,5.0,Russian,1.6,Estonian,0.9
FJI,Fiji,iTaukei (indigenous Fijian),60.7,Fijian Indian,33.8,Other,4.3,Rotuman,1.1,,
FRA,France,French (native),82.3,North African (Arab/Berber),7.2,Sub-Saharan African,4.1,Other European,3.7,Other,2.6
FSM,Micronesia,Chuukese,50.1,Pohnpeian,23.6,Other,15.2,Kosraean,6.0,Yapese,5.1
GAB,Gabon,Other African,28.4,Fang,22.6,Shirazi-Punu,18.2,Nzabi,11.2,Mbamba,10.7
GBR,UK,White British,73.8,Other,5.4,Other White,4.8,Indian,3.2,Mixed/Multiple,2.8
GEO,Georgia,Georgian,87.0,Azerbaijani,6.5,Armenian,4.1,Russian,1.4,Other,0.9
GHA,Ghana,Akan,47.1,Mole-Dagbani,18.0,Ewe,12.5,Ga-Dangme,6.9,Gurma,6.2
GIN,Guinea,Fulani (Peulh),36.6,Malinke,28.4,Susu,20.0,Guerze,7.4,Kissi,6.0
GMB,Gambia,Mandinka,35.6,Fula,23.1,Wolof,11.8,Jola,10.3,Other,8.5
GNB,Guinea-Bissau,Balanta,29.9,Fula,23.1,Manjaco,14.1,Other,10.6,Mandinga,8.7
GNQ,Equatorial Guinea,Fang,86.0,Bubi,6.3,Ndowe,3.5,Annobon,1.6,Other,1.4
GRC,Greece,Greek,91.2,Albanian,4.6,Other,2.8,Romanian,0.5,Bulgarian,0.3
GRD,Grenada,African descent,82.7,Mixed,12.9,Other,2.2,East Indian,2.1,,
GTM,Guatemala,Ladino (Mestizo),55.6,Other Maya,10.3,Maya: K'iche',9.2,Maya: Q'eqchi',8.8,Maya: Kaqchikel,7.9
GUY,Guyana,East Indian,41.1,African descent,28.3,Mixed,19.2,Amerindian (Arawak/Carib),10.9,Other,0.5
HKG,Hong Kong,Chinese,91.2,Other,4.0,Filipino,2.8,Indonesian,2.0,,
HND,Honduras,Mestizo,89.9,Indigenous: Lenca,4.2,Indigenous: Miskito,2.1,Black (Garifuna),1.9,Other Indigenous,1.0
HRV,Croatia,Croat,90.6,Serb,4.0,Other,3.5,Bosniak,0.9,Italian,0.6
HTI,Haiti,Black (African descent),95.1,Mixed (Mulatto),4.9,,,,,,
HUN,Hungary,Hungarian,87.8,Other,7.1,Romani,3.3,German,1.1,Slovak,0.7
IDN,Indonesia,Javanese,41.5,Sundanese,15.1,Other,14.7,Malay,3.8,Batak,3.5
IND,India,Hindi-speaking (North/Central Indo-Aryan),44.9,Bengali,8.1,Marathi,6.7,Telugu (Dravidian),6.5,Tamil (Dravidian),5.5
IRL,Ireland,Irish,75.8,Other White British,10.5,Other EU (Romanian/Lithuanian),4.1,Polish,3.1,Asian (other),1.8
IRN,Iran,Persian,59.5,Azeri,15.4,Kurd,10.3,Lur,5.8,Gilaki/Mazandarani,2.4
IRQ,Iraq,Arab (Shia),56.4,Arab (Sunni),17.6,Kurdish,17.6,Other,5.0,Turkmen,2.0
ISL,Iceland,Icelandic,80.6,Other European,6.2,Polish,5.8,Other,5.0,Danish,1.0
ISR,Israel,Jewish (Non-Haredi),58.7,Arab Muslim (incl. Bedouin),17.1,Jewish (Haredi/Orthodox),14.2,Other (incl. migrant workers),6.9,Arab Christian,1.6
ITA,Italy,Italian,88.0,Other,6.3,Romanian,2.1,Albanian,1.6,Moroccan,1.2
JAM,Jamaica,Black (African descent),92.3,Mixed,5.9,Other,1.0,East Indian,0.8,,
JOR,Jordan,Transjordanian Arab,41.6,Jordanian of Palestinian origin,29.3,Syrian,12.7,Palestinian,6.8,Egyptian,6.8
JPN,Japan,Japanese,97.3,Other,1.1,Chinese,0.8,Filipino,0.4,Korean,0.4
KAZ,Kazakhstan,Kazakh,72.7,Russian,13.6,Other,6.3,Uzbek,3.2,Ukrainian,1.8
KEN,Kenya,Kikuyu,19.1,Luhya,13.9,Kalenjin,13.0,Luo,10.4,Kamba,9.8
KGZ,Kyrgyzstan,Kyrgyz,75.2,Uzbek,14.6,Russian,5.1,Other,4.0,Dungan,1.0
KHM,Cambodia,Khmer,92.0,Vietnamese,4.9,Cham (Muslim),2.1,Chinese,0.5,Other,0.5
KIR,Kiribati,I-Kiribati,95.9,Mixed / Other,4.1,,,,,,
