Entity,Code,Year,Number of people in poverty ($3 a day)
East Asia and Pacific (WB),WB_EAP,1990,1218386344
East Asia and Pacific (WB),WB_EAP,1991,1217186926
East Asia and Pacific (WB),WB_EAP,1992,1204137951
East Asia and Pacific (WB),WB_EAP,1993,1189783859
East Asia and Pacific (WB),WB_EAP,1994,1134642856
East Asia and Pacific (WB),WB_EAP,1995,1081894008
East Asia and Pacific (WB),WB_EAP,1996,1022370742
East Asia and Pacific (WB),WB_EAP,1997,1019471733
East Asia and Pacific (WB),WB_EAP,1998,1038215864
East Asia and Pacific (WB),WB_EAP,1999,997689600
East Asia and Pacific (WB),WB_EAP,2000,955136657
East Asia and Pacific (WB),WB_EAP,2001,911503578
East Asia and Pacific (WB),WB_EAP,2002,835149889
East Asia and Pacific (WB),WB_EAP,2003,762155249
East Asia and Pacific (WB),WB_EAP,2004,697097730
East Asia and Pacific (WB),WB_EAP,2005,616601889
East Asia and Pacific (WB),WB_EAP,2006,596286920
East Asia and Pacific (WB),WB_EAP,2007,541906941
East Asia and Pacific (WB),WB_EAP,2008,510615359
East Asia and Pacific (WB),WB_EAP,2009,469612478
East Asia and Pacific (WB),WB_EAP,2010,417489368
East Asia and Pacific (WB),WB_EAP,2011,340581377
East Asia and Pacific (WB),WB_EAP,2012,297894576
East Asia and Pacific (WB),WB_EAP,2013,203762612
East Asia and Pacific (WB),WB_EAP,2014,177298304
East Asia and Pacific (WB),WB_EAP,2015,139378323
East Asia and Pacific (WB),WB_EAP,2016,116215928
East Asia and Pacific (WB),WB_EAP,2017,96554904
East Asia and Pacific (WB),WB_EAP,2018,77153466
East Asia and Pacific (WB),WB_EAP,2019,60958285
East Asia and Pacific (WB),WB_EAP,2020,64525473
East Asia and Pacific (WB),WB_EAP,2021,62251883
East Asia and Pacific (WB),WB_EAP,2022,57382152
East Asia and Pacific (WB),WB_EAP,2023,52108583
East Asia and Pacific (WB),WB_EAP,2024,47161467
East Asia and Pacific (WB),WB_EAP,2025,42482719
East Asia and Pacific (WB),WB_EAP,2026,39145721
East Asia and Pacific (WB),WB_EAP,2027,36169836
East Asia and Pacific (WB),WB_EAP,2028,32946941
East Asia and Pacific (WB),WB_EAP,2029,30097003
East Asia and Pacific (WB),WB_EAP,2030,27496557
East Asia and Pacific (WB),WB_EAP,2031,26784117
East Asia and Pacific (WB),WB_EAP,2032,26134467
East Asia and Pacific (WB),WB_EAP,2033,25791759
East Asia and Pacific (WB),WB_EAP,2034,25458985
East Asia and Pacific (WB),WB_EAP,2035,24781044
East Asia and Pacific (WB),WB_EAP,2036,24572539
East Asia and Pacific (WB),WB_EAP,2037,24203588
East Asia and Pacific (WB),WB_EAP,2038,24291909
East Asia and Pacific (WB),WB_EAP,2039,24275269
East Asia and Pacific (WB),WB_EAP,2040,24128200
Europe and Central Asia (WB),WB_ECA,1990,34177374
Europe and Central Asia (WB),WB_ECA,1991,38558101
Europe and Central Asia (WB),WB_ECA,1992,47029460
Europe and Central Asia (WB),WB_ECA,1993,52240801
Europe and Central Asia (WB),WB_ECA,1994,65122619
Europe and Central Asia (WB),WB_ECA,1995,62596295
Europe and Central Asia (WB),WB_ECA,1996,64224592
Europe and Central Asia (WB),WB_ECA,1997,58798946
Europe and Central Asia (WB),WB_ECA,1998,60814921
Europe and Central Asia (WB),WB_ECA,1999,75735579
Europe and Central Asia (WB),WB_ECA,2000,66027300
Europe and Central Asia (WB),WB_ECA,2001,60177688
Europe and Central Asia (WB),WB_ECA,2002,53599327
Europe and Central Asia (WB),WB_ECA,2003,51823816
Europe and Central Asia (WB),WB_ECA,2004,44568397
Europe and Central Asia (WB),WB_ECA,2005,44087648
Europe and Central Asia (WB),WB_ECA,2006,38777370
