ISO3,Country,Country_HDR2000,Rank_1998_HDR2000,HDI_1998_HDR2000,Coverage_Status,Data_Year,Report_Year,Methodology_Vintage,Source_Report,Source_Page,Source_PDF
ISL,Iceland,Iceland,5,0.927,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
NOR,Norway,Norway,2,0.934,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
CHE,Switzerland,Switzerland,13,0.915,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
DNK,Denmark,Denmark,15,0.911,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
HKG,Hong Kong,"Hong Kong, China (SAR)",26,0.872,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
SWE,Sweden,Sweden,6,0.926,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
AUS,Australia,Australia,4,0.929,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
NLD,Netherlands,Netherlands,8,0.925,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
IRL,Ireland,Ireland,18,0.907,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
DEU,Germany,Germany,14,0.911,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
