Rank,UNDP_Rank_2023,RankChange_2023_to_2050,RankChangeDisplay,DevelopmentMomentumScore,DevelopmentMomentumTier,IndustrializingMover,IndustrializationSignal,RankCluster,RankClusterSize,RankClusterLabel,ProjectionType,BaselineSource,BaselineDataYear,UNDP_Country,ISO3,Country,HDI_Baseline,HDI_2024_Local_Estimate,HDI_2024_vs_UNDP_HDR2025,HDI_2024,UNDP_HDI_2023,Population_2024,Population_2024_Source,Population_2050,Population_2050_Source,HDI_Baseline_Recomputed_From_Components,HDI_Baseline_Component_Mismatch,HDI_2024_Recomputed_From_Components,HDI_2024_Component_Mismatch,HDI_2050,HDI_2050_Gain,HDI_P10,HDI_P50,HDI_P90,HDI_Optimistic,HDI_Pessimistic,Interval_Contains_Baseline_HDI,Interval_Contains_2024_HDI,LifeExp_Baseline,GNI_PPP_Baseline,ExpSchool_Baseline,MeanSchool_Baseline,HealthIndex_2025,EducationIndex_2025,IncomeIndex_2025,HealthIndex_2050,EducationIndex_2050,IncomeIndex_2050,HDI_2050_Recomputed_From_Indices,HDI_2050_Index_Mismatch,LifeExp_2024,GNI_PPP_2024,ExpSchool_2024,MeanSchool_2024,InstEfficiency,TechFactor,DemoFactor,SubReplacementDepth,MigrationBufferIntensity,MedianAge_2024,MedianAge_2050,MedianAgeShift_2024_to_2050,Youth014Pct_2024,Youth014Pct_2050,WorkingAgePct_2024,WorkingAgePct_2050,WorkforceChangePP_2024_to_2050,Elderly65PlusPct_2024,Elderly65PlusPct_2050,Elderly65PlusChangePP_2024_to_2050,ChildDependencyRatio,OldAgeDependencyRatio,TotalDependencyRatio,AgePyramidScore,WorkforceDepth,WorkforceMomentum,YouthDependencyPressure,AgingPressure,DevelopedDemographicAdaptation,AdaptedAgingPressure,FertilityWindow,HumanCapitalAbsorption,DemographicDividend,DependencyPressure,DemographicHDIMultiplier,DemographicHDIAdjustment,FutureReadiness,DigitalInfraDevelopment,DigitalInfraHDIAdjustment,RecoveryPotential2050,ResourceDependence,GrowthVolatility,EconomicDiversification,ResourceDrag,IndustrializationHDIAcceleration,DevelopingCatchupReadiness,GrowthProspectScore,LowGrowthProspectDrag,TrajectoryHDISpeedMultiplier,TrajectoryHDICapMultiplier,TrajectoryHDIShockMultiplier,Gini_2024,InfantMortality_2024,ClimateRisk_2024,Fertility_2024,Urbanization_2024,PoliticalStability_2024,RuleOfLaw_2024,Physicians_2024,HealthExp_2024,RenewableShare_2024,Contrib_Income,Contrib_Education,Contrib_Health,Contrib_Governance,Contrib_Demographics,Contrib_Technology,Contrib_Recovery,Contrib_Inequality,Contrib_Climate,Contrib_ShockRisk,ai_adoption_index,robot_density,semiconductor_production,green_energy_investment,ev_adoption,battery_capacity,high_speed_rail,startup_ecosystem,venture_capital,cloud_adoption,Trajectory,Rank_Best_P90,Rank_Worst_P10
1,1,0,0,31.77,emerging_mover,False,0.4,1,1,Cluster 1,scenario_projection,UNDP_HDR_2025_Table_1,2023,Iceland,ISL,Iceland,0.972,0.959,-0.013,0.959,0.972,393404,un_wpp_owid_2024,432997,un_wpp_owid_2050,0.9314,-0.0406,0.9314,-0.0406,0.97,-0.002,0.966,0.97,0.972,0.972,0.966,True,False,82.691,69116.9374,18.8506,13.9089,0.9219,0.9324,0.9399,0.960197,0.971097,0.978797,0.97,2.9e-07,82.691,69116.9374,18.8506,13.9089,1.12,1.134,0.9402,0.3333,0.3333,37.0,42.5,5.5,16.5,10.6285,67.0,64.6,-2.4,16.5,24.7715,8.2715,0.1645,0.3835,0.548,0.9032,0.6636,0.35,0.0,0.5805,0.5719,0.4411,0.9167,0.8084,0.4782,0.2576,1.0178,0.0003,0.404,0.547,0.0003,0.0,0.12,0.22,0.6,0.0117,0.0488,0.0,0.5949,0.4051,0.738,0.7216,1.04,0.38,25.0,0.3,2.3,0.55,0.0,0.0,1.5,6.0,0.2,0.0,0.0001,0.0001,0.0009,0.0004,0.0004,0.0,-0.0,-0.0001,-0.0001,0.436,0.3069,0.2069,0.4202,0.5183,0.2356,0.4973,0.405,0.5173,0.4967,slow_growth,1,3
2,2,0,0,36.8,emerging_mover,False,0.54,2,2,Cluster 2,scenario_projection,UNDP_HDR_2025_Table_1,2023,Norway,NOR,Norway,0.97,0.966,-0.004,0.966,0.97,5576656,un_wpp_owid_2024,5899827,un_wpp_owid_2050,0.9447,-0.0253,0.9447,-0.0253,0.9676,-0.0024,0.948,0.9676,0.9702,0.9702,0.948,True,True,83.308,112710.0211,18.7929,13.118,0.931,0.9055,1.0,0.965057,0.938758,0.999956,0.9676,-5e-08,83.308,112710.0211,18.7929,13.118,1.12,1.134,0.9415,0.6667,0.6667,39.8,45.0,5.2,13.1971,7.6087,66.5,66.34,-0.16,20.3029,26.0513,5.7483,0.1147,0.3927,0.5074,0.9028,0.7427,0.49,0.0,0.6387,0.7613,0.4345,0.7959,0.7914,0.5102,0.2495,1.0242,0.0006,0.5443,0.563,0.0003,0.0,0.42,0.25,0.88,0.0356,0.0574,0.0,0.6764,0.3236,0.738,0.7216,1.04,0.2792,4.4732,0.0898,1.6102,0.773,0.6769,1.0534,2.8991,8.9069,0.1524,0.0,0.0001,0.0001,0.001,0.0005,0.0005,0.0,-0.0,-0.0,-0.0001,0.5566,0.4915,0.4344,0.5483,0.6505,0.4265,0.6148,0.4984,0.6054,0.617,slow_growth,1,12
3,2,-1,-1,36.03,emerging_mover,False,0.53,2,2,Cluster 2,scenario_projection,UNDP_HDR_2025_Table_1,2023,Switzerland,CHE,Switzerland,0.97,0.967,-0.003,0.967,0.97,8921979,un_wpp_owid_2024,9342590,un_wpp_owid_2050,0.9341,-0.0359,0.9341,-0.0359,0.9674,-0.0026,0.9476,0.9674,0.97,0.97,0.9476,True,True,83.954,81948.9018,16.6675,13.9491,0.9405,0.8985,0.9644,0.974011,0.93071,0.998711,0.9674,-1.3e-07,83.954,81948.9018,16.6675,13.9491,1.12,1.134,0.9248,0.6667,0.6667,42.7,47.5,4.8,9.9897,5.6121,66.0,66.16,0.16,24.0103,28.2279,4.2176,0.0848,0.4267,0.5115,0.8802,0.7345,0.51,0.0,0.7376,0.7764,0.4971,0.9125,0.8001,0.4738,0.288,1.0099,0.0005,0.5344,0.5607,0.0003,0.0,0.12,0.22,0.6,0.0117,0.0572,0.0,0.6711,0.3289,0.738,0.7216,1.04,0.3188,3.733,0.1264,1.89,0.7453,0.9612,1.4488,3.1928,10.3111,0.1684,0.0,0.0002,0.0001,0.0012,0.0005,0.0006,0.0,-0.0,-0.0001,-0.0001,0.5708,0.5017,0.4383,0.4709,0.6194,0.4335,0.5966,0.5063,0.5826,0.6238,slow_growth,1,12
4,4,0,0,35.15,emerging_mover,False,0.54,3,2,Cluster 3,scenario_projection,UNDP_HDR_2025_Table_1,2023,Denmark,DNK,Denmark,0.962,0.952,-0.01,0.952,0.962,5977417,un_wpp_owid_2024,6124830,un_wpp_owid_2050,0.922,-0.04,0.922,-0.04,0.9599,-0.0021,0.9403,0.9599,0.9631,0.9631,0.9403,True,True,81.933,76007.8567,18.704,13.0273,0.9108,0.9023,0.9536,0.948313,0.939513,0.992713,0.9599,1.7e-07,81.933,76007.8567,18.704,13.0273,1.12,1.134,0.9097,0.5,0.5,42.0,46.5,4.5,11.0826,6.7011,65.0,64.4,-0.6,23.9174,28.8989,4.9815,0.1041,0.4487,0.5528,0.8531,0.6545,0.4625,0.0,0.7681,0.7676,0.5205,0.7667,0.7507,0.4086,0.3285,0.979,0.0005,0.545,0.5646,0.0005,0.0,0.12,0.22,0.6,0.0116,0.0579,0.0,0.6921,0.3079,0.738,0.7216,1.04,0.2839,3.6695,0.1085,1.5401,0.8248,1.0613,1.051,3.8188,8.7414,0.2079,0.0,0.0001,0.0001,0.001,0.0003,0.0005,0.0,-0.0,-0.0,-0.0001,0.5577,0.5031,0.4402,0.5507,0.6093,0.4368,0.6218,0.4981,0.605,0.6269,slow_growth,4,19
5,8,3,+3,41.25,emerging_mover,False,0.41,3,2,Cluster 3,scenario_projection,UNDP_HDR_2025_Table_1,2023,"Hong Kong, China (SAR)",HKG,Hong Kong,0.955,0.956,0.001,0.956,0.955,7414914,un_wpp_owid_2024,6090616,un_wpp_owid_2050,0.9171,-0.0379,0.9171,-0.0379,0.9599,0.0049,0.9326,0.9599,0.9632,0.9632,0.9326,True,True,85.511,69435.7571,16.8959,12.35,0.9634,0.8512,0.9406,1.0,0.898916,0.983918,0.9599,3e-08,85.511,69435.7571,16.8959,12.35,0.9,1.134,1.1136,1.0,1.0,45.6,35.0,-10.6,7.3607,11.8261,65.0,79.48,14.48,27.6393,8.6939,-18.9454,0.1488,0.1094,0.2582,0.818,1.0,1.0,0.0,0.0,0.471,0.0,0.9167,0.8801,0.916,0.0,1.18,0.0025,0.4072,0.5478,0.0006,0.0,0.12,0.22,0.6,0.0123,0.0466,0.0,0.6297,0.3703,0.9,0.88,1.0,0.38,25.0,0.3,2.3,0.55,0.0,0.0,1.5,6.0,0.2,0.0,0.0004,0.0,0.0018,0.0023,0.0008,0.0,-0.0001,-0.0002,-0.0001,0.4478,0.3071,0.2069,0.4205,0.5187,0.2357,0.4976,0.4127,0.5199,0.5055,moderate,4,20
6,5,-1,-1,35.24,emerging_mover,False,0.53,4,2,Cluster 4,scenario_projection,UNDP_HDR_2025_Table_1,2023,Sweden,SWE,Sweden,0.959,0.952,-0.007,0.952,0.959,10606993,un_wpp_owid_2024,11309632,un_wpp_owid_2050,0.9185,-0.0405,0.9185,-0.0405,0.9576,-0.0014,0.938,0.9576,0.961,0.961,0.938,True,True,83.262,66102.0859,18.9915,12.7403,0.9303,0.8923,0.9335,0.969933,0.930332,0.973134,0.9576,-5e-08,83.262,66102.0859,18.9915,12.7403,1.12,1.134,0.9191,0.5,0.5,39.6,44.5,4.9,14.0459,8.6132,65.0,64.08,-0.92,20.9541,27.3068,6.3528,0.1344,0.4261,0.5605,0.8671,0.64,0.4425,0.0,0.6958,0.7693,0.471,0.8078,0.7544,0.4279,0.308,0.988,0.0006,0.533,0.5653,0.0005,0.0,0.12,0.22,0.6,0.0117,0.0569,0.0,0.6865,0.3135,0.738,0.7216,1.04,0.2819,3.4954,0.11,1.6387,0.7742,0.3787,0.9453,4.1511,9.986,0.1606,0.0,0.0001,0.0001,0.0007,0.0002,0.0003,0.0,-0.0,-0.0,-0.0,0.5771,0.4742,0.4194,0.5294,0.5977,0.4127,0.5924,0.5207,0.5881,0.6179,slow_growth,4,19
7,7,0,0,36.23,emerging_mover,False,0.53,4,2,Cluster 4,scenario_projection,UNDP_HDR_2025_Table_1,2023,Australia,AUS,Australia,0.958,0.946,-0.012,0.946,0.958,26713206,un_wpp_owid_2024,32506964,un_wpp_owid_2050,0.9173,-0.0407,0.9173,-0.0407,0.9571,-0.0009,0.9375,0.9571,0.9605,0.9605,0.9375,True,True,83.923,58276.8764,20.6548,12.87,0.94,0.8969,0.9154,0.980845,0.935843,0.955144,0.9571,2.1e-07,83.923,58276.8764,20.6548,12.87,1.1,1.134,0.9382,0.3333,0.4333,37.9,42.5,4.6,16.0577,10.6825,65.5,64.42,-1.08,18.4423,24.8975,6.4551,0.1658,0.3865,0.5523,0.8993,0.6555,0.4325,0.0,0.5862,0.7839,0.3932,0.8315,0.7733,0.4801,0.2627,1.0117,0.0008,0.5349,0.571,0.0006,0.0,0.35,0.3,0.82,0.0383,0.0561,0.0,0.6839,0.3161,0.738,0.7216,1.04,0.3163,4.2724,0.0955,1.6956,0.8118,0.6113,1.1717,2.7354,8.9347,0.1882,0.0,0.0001,0.0,0.0004,0.0002,0.0002,0.0,-0.0,-0.0,-0.0,0.5692,0.4975,0.4569,0.4616,0.6038,0.4464,0.5982,0.5181,0.5832,0.6138,slow_growth,4,19
8,8,0,0,36.52,emerging_mover,False,0.56,5,1,Cluster 5,scenario_projection,UNDP_HDR_2025_Table_1,2023,Netherlands,NLD,Netherlands,0.955,0.946,-0.009,0.946,0.955,18228740,un_wpp_owid_2024,18958470,un_wpp_owid_2050,0.9139,-0.0411,0.9139,-0.0411,0.9536,-0.0014,0.934,0.9536,0.9573,0.9573,0.934,True,True,82.158,68344.3083,18.5849,12.6699,0.9141,0.8899,0.9383,0.953822,0.928621,0.979023,0.9536,0.0,82.158,68344.3083,18.5849,12.6699,1.11,1.134,0.9198,0.6667,0.6667,42.8,47.5,4.7,10.0269,5.6818,65.5,65.74,0.24,24.4731,28.5782,4.1051,0.0864,0.4347,0.5211,0.8748,0.7155,0.515,0.0,0.7536,0.7713,0.5094,0.8344,0.7757,0.456,0.3007,0.9994,0.0008,0.5554,0.564,0.0006,0.0,0.12,0.22,0.6,0.0117,0.0582,0.0,0.6944,0.3056,0.738,0.7216,1.04,0.3047,1.7488,0.1194,1.7025,0.8446,0.5335,1.1663,3.5398,9.5851,0.1089,0.0,0.0001,0.0001,0.0006,0.0002,0.0003,0.0,-0.0,-0.0,-0.0,0.5668,0.5493,0.4944,0.4785,0.6279,0.4825,0.6123,0.532,0.5982,0.6118,slow_growth,7,19
9,11,2,+2,36.49,emerging_mover,False,0.52,6,1,Cluster 6,scenario_projection,UNDP_HDR_2025_Table_1,2023,Ireland,IRL,Ireland,0.949,0.95,0.001,0.95,0.949,5255016,un_wpp_owid_2024,5970040,un_wpp_owid_2050,0.9163,-0.0327,0.9163,-0.0327,0.9513,0.0023,0.9312,0.9513,0.9552,0.9552,0.9312,True,True,82.412,90884.6346,19.1849,11.725,0.9178,0.856,0.9792,0.959785,0.896986,0.999984,0.9513,1.3e-07,82.412,90884.6346,19.1849,11.725,1.1,1.134,0.9285,0.3333,0.3333,38.2,43.5,5.3,15.2082,9.612,66.5,64.26,-2.24,18.2918,26.128,7.8363,0.1496,0.4066,0.5562,0.883,0.6482,0.36,0.0,0.6422,0.7647,0.4359,0.9167,0.7628,0.4396,0.2856,0.9962,0.0008,0.519,0.5616,0.0007,0.0,0.12,0.22,0.6,0.0118,0.0558,0.0,0.6878,0.3122,0.738,0.7216,1.04,0.3085,4.5847,0.1254,1.9,0.7721,0.5874,1.2622,3.8073,8.655,0.1854,0.0,0.0002,0.0001,0.0011,0.0004,0.0006,0.0,-0.0,-0.0001,-0.0001,0.543,0.4803,0.4235,0.4705,0.6133,0.4177,0.5983,0.4788,0.5686,0.5953,slow_growth,8,20
10,5,-5,-5,31.4,emerging_mover,False,0.51,7,3,Cluster 7,scenario_projection,UNDP_HDR_2025_Table_1,2023,Germany,DEU,Germany,0.959,0.942,-0.017,0.942,0.959,84552234,un_wpp_owid_2024,78294606,un_wpp_owid_2050,0.9194,-0.0396,0.9194,-0.0396,0.9491,-0.0099,0.9296,0.9491,0.9532,0.9532,0.9296,False,True,81.378,64053.2212,17.3092,14.2964,0.9026,0.9269,0.929,0.932011,0.957012,0.958512,0.9491,4e-08,81.378,64053.2212,17.3092,14.2964,1.11,1.134,0.8867,0.6667,0.6667,45.7,51.0,5.3,7.3756,3.716,64.5,64.26,-0.24,28.1244,32.024,3.8996,0.0578,0.4984,0.5562,0.8152,0.6482,0.485,0.0,0.9102,0.7656,0.6175,0.6568,0.7305,0.3496,0.3821,0.952,0.0003,0.5089,0.5644,0.0005,0.0,0.12,0.22,0.6,0.0117,0.0552,0.0,0.6756,0.3244,0.738,0.7216,1.04,0.3021,2.7277,0.126,1.2764,0.8318,0.7732,1.2452,3.1079,9.7908,0.0966,0.0001,0.0005,0.0006,0.0048,0.0009,0.0024,0.0,-0.0,-0.0003,-0.0004,0.5803,0.4911,0.3401,0.5011,0.5771,0.3407,0.5711,0.4768,0.5784,0.6319,slow_growth,9,22
