Rank,UNDP_Rank_2023,RankChange_2023_to_2050,RankChangeDisplay,DevelopmentMomentumScore,DevelopmentMomentumTier,IndustrializingMover,IndustrializationSignal,RankCluster,RankClusterSize,RankClusterLabel,ProjectionType,BaselineSource,BaselineDataYear,UNDP_Country,ISO3,Country,HDI_Baseline,HDI_2024_Local_Estimate,HDI_2024_vs_UNDP_HDR2025,HDI_2024,UNDP_HDI_2023,Population_2024,Population_2024_Source,Population_2050,Population_2050_Source,HDI_Baseline_Recomputed_From_Components,HDI_Baseline_Component_Mismatch,HDI_2024_Recomputed_From_Components,HDI_2024_Component_Mismatch,HDI_2050,HDI_2050_Gain,HDI_P10,HDI_P50,HDI_P90,HDI_Optimistic,HDI_Pessimistic,Interval_Contains_Baseline_HDI,Interval_Contains_2024_HDI,LifeExp_Baseline,GNI_PPP_Baseline,ExpSchool_Baseline,MeanSchool_Baseline,HealthIndex_2025,EducationIndex_2025,IncomeIndex_2025,HealthIndex_2050,EducationIndex_2050,IncomeIndex_2050,HDI_2050_Recomputed_From_Indices,HDI_2050_Index_Mismatch,LifeExp_2024,GNI_PPP_2024,ExpSchool_2024,MeanSchool_2024,InstEfficiency,TechFactor,DemoFactor,MedianAge_2024,MedianAge_2050,MedianAgeShift_2024_to_2050,Youth014Pct_2024,Youth014Pct_2050,WorkingAgePct_2024,WorkingAgePct_2050,WorkforceChangePP_2024_to_2050,Elderly65PlusPct_2024,Elderly65PlusPct_2050,Elderly65PlusChangePP_2024_to_2050,ChildDependencyRatio,OldAgeDependencyRatio,TotalDependencyRatio,AgePyramidScore,WorkforceDepth,WorkforceMomentum,YouthDependencyPressure,AgingPressure,DevelopedDemographicAdaptation,AdaptedAgingPressure,FertilityWindow,HumanCapitalAbsorption,DemographicDividend,DependencyPressure,DemographicHDIMultiplier,DemographicHDIAdjustment,FutureReadiness,DigitalInfraDevelopment,DigitalInfraHDIAdjustment,RecoveryPotential2050,ResourceDependence,GrowthVolatility,EconomicDiversification,ResourceDrag,IndustrializationHDIAcceleration,DevelopingCatchupReadiness,GrowthProspectScore,LowGrowthProspectDrag,TrajectoryHDISpeedMultiplier,TrajectoryHDICapMultiplier,TrajectoryHDIShockMultiplier,Gini_2024,InfantMortality_2024,ClimateRisk_2024,Fertility_2024,Urbanization_2024,PoliticalStability_2024,RuleOfLaw_2024,Physicians_2024,HealthExp_2024,RenewableShare_2024,Contrib_Income,Contrib_Education,Contrib_Health,Contrib_Governance,Contrib_Demographics,Contrib_Technology,Contrib_Recovery,Contrib_Inequality,Contrib_Climate,Contrib_ShockRisk,ai_adoption_index,robot_density,semiconductor_production,green_energy_investment,ev_adoption,battery_capacity,high_speed_rail,startup_ecosystem,venture_capital,cloud_adoption,Trajectory,Rank_Best_P90,Rank_Worst_P10
1,1,0,0,30.31,emerging_mover,False,0.4,1,1,Cluster 1,scenario_projection,UNDP_HDR_2025_Table_1,2023,Iceland,ISL,Iceland,0.972,0.959,-0.013,0.959,0.972,393404,un_wpp_owid_2024,432997,un_wpp_owid_2050,0.9314,-0.0406,0.9314,-0.0406,0.9694,-0.0026,0.949,0.9694,0.9719,0.9719,0.949,False,True,82.691,69116.9374,18.8506,13.9089,0.9219,0.9324,0.9399,0.959597,0.970497,0.978197,0.9694,2.7e-07,82.691,69116.9374,18.8506,13.9089,1.12,1.134,0.9184,37.0,42.5,5.5,16.5,11.229,67.0,62.6,-4.4,16.5,26.171,9.671,0.1794,0.4181,0.5974,0.8601,0.5727,0.225,0.0,0.6441,0.5795,0.4874,0.9167,0.7775,0.3839,0.3158,0.9797,0.0002,0.404,0.547,0.0003,0.0,0.12,0.22,0.6,0.0117,0.0488,0.0,0.5949,0.4051,0.738,0.7216,1.04,0.38,25.0,0.3,2.3,0.55,0.0,0.0,1.5,6.0,0.2,0.0,0.0001,0.0001,0.0012,0.0004,0.0005,0.0,-0.0001,-0.0002,-0.0001,0.436,0.3069,0.2069,0.4202,0.5183,0.2356,0.4973,0.405,0.5173,0.4967,slow_growth,1,9
2,2,0,0,33.53,emerging_mover,False,0.54,2,2,Cluster 2,scenario_projection,UNDP_HDR_2025_Table_1,2023,Norway,NOR,Norway,0.97,0.966,-0.004,0.966,0.97,5576656,un_wpp_owid_2024,5899827,un_wpp_owid_2050,0.9447,-0.0253,0.9447,-0.0253,0.9664,-0.0036,0.9468,0.9664,0.9691,0.9691,0.9468,False,True,83.308,112710.0211,18.7929,13.118,0.931,0.9055,1.0,0.963278,0.936978,0.999977,0.9664,2.1e-07,83.308,112710.0211,18.7929,13.118,1.12,1.134,0.8959,39.8,45.0,5.2,13.1971,8.5129,66.5,62.34,-4.16,20.3029,29.1471,8.8442,0.1366,0.4676,0.6041,0.8224,0.5609,0.24,0.0,0.7794,0.7782,0.5247,0.7959,0.7293,0.3181,0.3692,0.9466,0.0002,0.5443,0.563,0.0003,0.0,0.42,0.25,0.88,0.0356,0.0574,0.0,0.6765,0.3235,0.738,0.7216,1.04,0.2792,4.4732,0.0898,1.6102,0.773,0.6769,1.0534,2.8991,8.9069,0.1524,0.0,0.0002,0.0001,0.0018,0.0003,0.0009,0.0,-0.0,-0.0001,-0.0001,0.5566,0.4915,0.4344,0.5483,0.6505,0.4265,0.6148,0.4984,0.6054,0.617,slow_growth,2,11
3,2,-1,-1,32.63,emerging_mover,False,0.53,2,2,Cluster 2,scenario_projection,UNDP_HDR_2025_Table_1,2023,Switzerland,CHE,Switzerland,0.97,0.967,-0.003,0.967,0.97,8921979,un_wpp_owid_2024,9342590,un_wpp_owid_2050,0.9341,-0.0359,0.9341,-0.0359,0.9661,-0.0039,0.9464,0.9661,0.9689,0.9689,0.9464,False,True,83.954,81948.9018,16.6675,13.9491,0.9405,0.8985,0.9644,0.972741,0.929543,0.997239,0.9661,-2.1e-07,83.954,81948.9018,16.6675,13.9491,1.12,1.134,0.878,42.7,47.5,4.8,9.9897,6.2755,66.0,62.16,-3.84,24.0103,31.5645,7.5543,0.101,0.5078,0.6088,0.7922,0.5527,0.26,0.0,0.8893,0.7946,0.5925,0.9125,0.7363,0.276,0.4121,0.9299,0.0002,0.5344,0.5607,0.0003,0.0,0.12,0.22,0.6,0.0117,0.0572,0.0,0.6712,0.3288,0.738,0.7216,1.04,0.3188,3.733,0.1264,1.89,0.7453,0.9612,1.4488,3.1928,10.3111,0.1684,0.0,0.0003,0.0001,0.002,0.0002,0.001,0.0,-0.0,-0.0001,-0.0001,0.5708,0.5017,0.4383,0.4709,0.6194,0.4335,0.5966,0.5063,0.5826,0.6238,slow_growth,2,11
4,4,0,0,32.66,emerging_mover,False,0.54,3,2,Cluster 3,scenario_projection,UNDP_HDR_2025_Table_1,2023,Denmark,DNK,Denmark,0.962,0.952,-0.01,0.952,0.962,5977417,un_wpp_owid_2024,6124830,un_wpp_owid_2050,0.922,-0.04,0.922,-0.04,0.9588,-0.0032,0.9392,0.9588,0.9621,0.9621,0.9392,True,True,81.933,76007.8567,18.704,13.0273,0.9108,0.9023,0.9536,0.947278,0.938478,0.991477,0.9588,8e-08,81.933,76007.8567,18.704,13.0273,1.12,1.134,0.8752,42.0,46.5,4.5,11.0826,7.2658,65.0,61.4,-3.6,23.9174,31.3342,7.4168,0.1183,0.5103,0.6287,0.7846,0.5182,0.275,0.0,0.8788,0.7809,0.5906,0.7667,0.7025,0.2607,0.4226,0.9189,0.0001,0.545,0.5646,0.0005,0.0,0.12,0.22,0.6,0.0116,0.0579,0.0,0.6922,0.3078,0.738,0.7216,1.04,0.2839,3.6695,0.1085,1.5401,0.8248,1.0613,1.051,3.8188,8.7414,0.2079,0.0,0.0002,0.0002,0.0017,0.0001,0.0008,0.0,-0.0,-0.0001,-0.0001,0.5577,0.5031,0.4402,0.5507,0.6093,0.4368,0.6218,0.4981,0.605,0.6269,slow_growth,4,18
5,8,3,+3,41.73,emerging_mover,False,0.41,3,2,Cluster 3,scenario_projection,UNDP_HDR_2025_Table_1,2023,"Hong Kong, China (SAR)",HKG,Hong Kong,0.955,0.956,0.001,0.956,0.955,7414914,un_wpp_owid_2024,6090616,un_wpp_owid_2050,0.9171,-0.0379,0.9171,-0.0379,0.9599,0.0049,0.9326,0.9599,0.9632,0.9632,0.9326,True,True,85.511,69435.7571,16.8959,12.35,0.9634,0.8512,0.9406,0.999941,0.898947,0.983942,0.9599,-1e-08,85.511,69435.7571,16.8959,12.35,0.9,1.134,1.0746,45.6,35.0,-10.6,7.3607,15.2841,65.0,73.48,8.48,27.6393,11.2359,-16.4033,0.208,0.1529,0.3609,0.899,1.0,1.0,0.0,0.0,0.471,0.0,0.9167,0.8821,0.9342,0.0,1.18,0.0025,0.4072,0.5478,0.0006,0.0,0.12,0.22,0.6,0.0123,0.0466,0.0,0.6297,0.3703,0.9,0.88,1.0,0.38,25.0,0.3,2.3,0.55,0.0,0.0,1.5,6.0,0.2,0.0,0.0004,0.0,0.0018,0.0024,0.0008,0.0,-0.0001,-0.0002,-0.0001,0.4478,0.3071,0.2069,0.4205,0.5187,0.2357,0.4976,0.4127,0.5199,0.5055,moderate,4,19
6,5,-1,-1,32.8,emerging_mover,False,0.53,4,2,Cluster 4,scenario_projection,UNDP_HDR_2025_Table_1,2023,Sweden,SWE,Sweden,0.959,0.952,-0.007,0.952,0.959,10606993,un_wpp_owid_2024,11309632,un_wpp_owid_2050,0.9185,-0.0405,0.9185,-0.0405,0.9565,-0.0025,0.9369,0.9565,0.96,0.96,0.9369,True,True,83.262,66102.0859,18.9915,12.7403,0.9303,0.8923,0.9335,0.968832,0.929331,0.971932,0.9565,-1e-07,83.262,66102.0859,18.9915,12.7403,1.12,1.134,0.8856,39.6,44.5,4.9,14.0459,9.3325,65.0,61.08,-3.92,20.9541,29.5875,8.6334,0.1528,0.4844,0.6372,0.8003,0.5036,0.255,0.0,0.7994,0.7817,0.537,0.8078,0.7068,0.2829,0.4001,0.929,0.0002,0.533,0.5653,0.0005,0.0,0.12,0.22,0.6,0.0117,0.0569,0.0,0.6866,0.3134,0.738,0.7216,1.04,0.2819,3.4954,0.11,1.6387,0.7742,0.3787,0.9453,4.1511,9.986,0.1606,0.0,0.0002,0.0001,0.0013,0.0002,0.0006,0.0,-0.0,-0.0001,-0.0001,0.5771,0.4742,0.4194,0.5294,0.5977,0.4127,0.5924,0.5207,0.5881,0.6179,slow_growth,4,19
7,7,0,0,34.22,emerging_mover,False,0.53,4,2,Cluster 4,scenario_projection,UNDP_HDR_2025_Table_1,2023,Australia,AUS,Australia,0.958,0.946,-0.012,0.946,0.958,26713206,un_wpp_owid_2024,32506964,un_wpp_owid_2050,0.9173,-0.0407,0.9173,-0.0407,0.9562,-0.0018,0.9366,0.9562,0.9597,0.9597,0.9366,True,True,83.923,58276.8764,20.6548,12.87,0.94,0.8969,0.9154,0.979944,0.935042,0.954143,0.9562,-2.7e-07,83.923,58276.8764,20.6548,12.87,1.1,1.134,0.9099,37.9,42.5,4.6,16.0577,11.4632,65.5,61.82,-3.68,18.4423,26.7168,8.2745,0.1854,0.4322,0.6176,0.8433,0.5373,0.27,0.0,0.6689,0.7938,0.4459,0.8315,0.7329,0.3574,0.3391,0.962,0.0005,0.5349,0.571,0.0006,0.0,0.35,0.3,0.82,0.0383,0.0561,0.0,0.6839,0.3161,0.738,0.7216,1.04,0.3163,4.2724,0.0955,1.6956,0.8118,0.6113,1.1717,2.7354,8.9347,0.1882,0.0,0.0001,0.0001,0.0009,0.0002,0.0005,0.0,-0.0,-0.0,-0.0,0.5692,0.4975,0.4569,0.4616,0.6038,0.4464,0.5982,0.5181,0.5832,0.6138,slow_growth,5,19
8,8,0,0,33.04,emerging_mover,False,0.56,5,2,Cluster 5,scenario_projection,UNDP_HDR_2025_Table_1,2023,Netherlands,NLD,Netherlands,0.955,0.946,-0.009,0.946,0.955,18228740,un_wpp_owid_2024,18958470,un_wpp_owid_2050,0.9139,-0.0411,0.9139,-0.0411,0.9519,-0.0031,0.9324,0.9519,0.9558,0.9558,0.9324,True,True,82.158,68344.3083,18.5849,12.6699,0.9141,0.8899,0.9383,0.952153,0.927054,0.977152,0.9519,-6e-08,82.158,68344.3083,18.5849,12.6699,1.11,1.134,0.8731,42.8,47.5,4.7,10.0269,6.3451,65.5,61.74,-3.76,24.4731,31.9149,7.4417,0.1028,0.5169,0.6197,0.7825,0.5336,0.265,0.0,0.9052,0.7895,0.6051,0.8344,0.7113,0.2571,0.4257,0.9189,0.0001,0.5554,0.564,0.0006,0.0,0.12,0.22,0.6,0.0117,0.0582,0.0,0.6945,0.3055,0.738,0.7216,1.04,0.3047,1.7488,0.1194,1.7025,0.8446,0.5335,1.1663,3.5398,9.5851,0.1089,0.0,0.0002,0.0002,0.0015,0.0001,0.0008,0.0,-0.0,-0.0001,-0.0001,0.5668,0.5493,0.4944,0.4785,0.6279,0.4825,0.6123,0.532,0.5982,0.6118,slow_growth,8,19
9,11,2,+2,34.97,emerging_mover,False,0.52,5,2,Cluster 5,scenario_projection,UNDP_HDR_2025_Table_1,2023,Ireland,IRL,Ireland,0.949,0.95,0.001,0.95,0.949,5255016,un_wpp_owid_2024,5970040,un_wpp_owid_2050,0.9163,-0.0327,0.9163,-0.0327,0.9505,0.0015,0.931,0.9505,0.9545,0.9545,0.931,True,True,82.412,90884.6346,19.1849,11.725,0.9178,0.856,0.9792,0.958919,0.895518,1.0,0.9505,-9e-08,82.412,90884.6346,19.1849,11.725,1.1,1.134,0.9064,38.2,43.5,5.3,15.2082,10.1498,66.5,62.26,-4.24,18.2918,27.5902,9.2984,0.163,0.4431,0.6062,0.8392,0.5573,0.235,0.0,0.7086,0.7726,0.4787,0.9167,0.7315,0.3441,0.3452,0.9575,0.0004,0.519,0.5616,0.0007,0.0,0.12,0.22,0.6,0.0118,0.0558,0.0,0.6878,0.3122,0.738,0.7216,1.04,0.3085,4.5847,0.1254,1.9,0.7721,0.5874,1.2622,3.8073,8.655,0.1854,0.0,0.0001,0.0001,0.0007,0.0002,0.0004,0.0,-0.0,-0.0,-0.0,0.543,0.4803,0.4235,0.4705,0.6133,0.4177,0.5983,0.4788,0.5686,0.5953,slow_growth,8,19
10,5,-5,-5,28.37,stable_or_slow,False,0.51,6,3,Cluster 6,scenario_projection,UNDP_HDR_2025_Table_1,2023,Germany,DEU,Germany,0.959,0.942,-0.017,0.942,0.959,84552234,un_wpp_owid_2024,78294606,un_wpp_owid_2050,0.9194,-0.0396,0.9194,-0.0396,0.948,-0.011,0.9285,0.948,0.9522,0.9522,0.9285,False,True,81.378,64053.2212,17.3092,14.2964,0.9026,0.9269,0.929,0.931011,0.955911,0.957311,0.948,2.2e-07,81.378,64053.2212,17.3092,14.2964,1.11,1.134,0.8391,45.7,51.0,5.3,7.3756,4.1319,64.5,60.26,-4.24,28.1244,35.6081,7.4837,0.0686,0.5909,0.6595,0.72,0.4664,0.235,0.0,1.0,0.7764,0.6739,0.6568,0.6644,0.1708,0.4882,0.8794,-0.0002,0.5089,0.5644,0.0005,0.0,0.12,0.22,0.6,0.0117,0.0552,0.0,0.6757,0.3243,0.738,0.7216,1.04,0.3021,2.7277,0.126,1.2764,0.8318,0.7732,1.2452,3.1079,9.7908,0.0966,0.0002,0.0006,0.0007,0.0056,-0.0004,0.0028,0.0,-0.0,-0.0003,-0.0004,0.5803,0.4911,0.3401,0.5011,0.5771,0.3407,0.5711,0.4768,0.5784,0.6319,slow_growth,8,21
