ISO3,Country,Group,Profile,Share_2024_pct,Share_2050_pct,Change_pp,Share_2050_WithoutBirthReplacementMigration_pct,BirthReplacementMigration_Attributed_Change_pp,Birth_Replacement_Pressure_2050,Europe_Migration_Response_2050,Migration_Composition_Weight_2050,SSA_LateMigration_CompositionWeight_2050,Share_2050_WithoutSSALateMigration_pct,SSA_LateMigration_Attributed_Change_pp,Pop_2024,Pop_2050
AFG,Afghanistan,Catholic Christianity,religion,0.01,0.01,-0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,5224,8590
AFG,Afghanistan,Folk / Traditional,religion,0.01,0.01,-0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,4976,7799
AFG,Afghanistan,Hinduism,religion,0.03,0.03,-0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.0,12794,21329
AFG,Afghanistan,Ibadi / Other Islam,religion,3.0,2.96,-0.04,2.96,0.0,0.0,0.0,0.0,0.0,2.96,0.0,1278146,2272605
AFG,Afghanistan,Other religions,religion,0.01,0.01,-0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,4976,8223
AFG,Afghanistan,Shia Islam,religion,8.99,8.87,-0.12,8.87,0.0,0.0,0.0,0.0,0.0,8.87,0.0,3834437,6817815
AFG,Afghanistan,Sunni Islam,religion,87.91,87.91,-0.01,87.91,0.0,0.0,0.0,0.0,0.0,87.91,0.0,37492272,67586068
AFG,Afghanistan,Unaffiliated,religion,0.02,0.21,0.19,0.21,0.0,0.0,0.0,0.0,0.0,0.21,0.0,7463,162708
AGO,Angola,African Independent / Syncretic Christianity,religion,15.58,14.78,-0.8,14.78,0.0,0.0,0.0,0.0,0.0,14.78,0.0,5902425,10982531
AGO,Angola,Catholic Christianity,religion,26.83,25.46,-1.37,25.46,0.0,0.0,0.0,0.0,0.0,25.46,0.0,10165287,18914359
AGO,Angola,Folk / Traditional,religion,2.72,1.86,-0.85,1.86,0.0,0.0,0.0,0.0,0.0,1.86,0.0,1029396,1384064
AGO,Angola,Ibadi / Other Islam,religion,0.0,0.21,0.21,0.21,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0,156052
AGO,Angola,Indigenous / Syncretic traditions,religion,8.24,5.81,-2.43,5.81,0.0,0.0,0.0,0.0,0.0,5.81,0.0,3121395,4315060
AGO,Angola,Orthodox Christianity,religion,5.19,4.93,-0.27,4.93,0.0,0.0,0.0,0.0,0.0,4.93,0.0,1967475,3660844
AGO,Angola,Other Christianity,religion,4.33,4.11,-0.22,4.11,0.0,0.0,0.0,0.0,0.0,4.11,0.0,1639562,3050703
AGO,Angola,Other religions,religion,1.1,1.22,0.13,1.22,0.0,0.0,0.0,0.0,0.0,1.22,0.0,415079,906996
AGO,Angola,Protestant Christianity,religion,34.62,33.03,-1.59,33.03,0.0,0.0,0.0,0.0,0.0,33.03,0.0,13116499,24541186
AGO,Angola,Shia Islam,religion,0.03,0.64,0.61,0.64,0.0,0.0,0.0,0.0,0.0,0.64,0.0,10229,475660
AGO,Angola,Sunni Islam,religion,0.26,6.26,6.0,6.26,0.0,0.0,0.0,0.0,0.0,6.26,0.0,100019,4651932
AGO,Angola,Unaffiliated,religion,1.1,1.69,0.59,1.69,0.0,0.0,0.0,0.0,0.0,1.69,0.0,415079,1256012
ALB,Albania,Catholic Christianity,religion,8.63,7.85,-0.78,7.85,0.0,0.525,0.15,0.0,0.0,7.85,0.0,240859,175845
ALB,Albania,Folk / Traditional,religion,8.22,6.78,-1.44,6.78,0.0,0.525,0.15,0.0,0.0,6.78,0.0,229389,151817
ALB,Albania,Ibadi / Other Islam,religion,1.52,1.52,-0.0,1.52,0.0,0.525,0.15,0.0,0.0,1.52,0.0,42463,34033
ALB,Albania,Orthodox Christianity,religion,1.64,1.5,-0.15,1.5,0.0,0.525,0.15,0.0,0.0,1.5,0.0,45878,33494
ALB,Albania,Other Christianity,religion,3.29,2.99,-0.3,2.99,0.0,0.525,0.15,0.0,0.0,2.99,0.0,91756,66989
