ISO3,Country,Top1,Top1_2050_pct,Top2,Top2_2050_pct,Top3,Top3_2050_pct,Top4,Top4_2050_pct,Top5,Top5_2050_pct
AFG,Afghanistan,Sunni Islam,87.9,Shia Islam,8.9,Ibadi / Other Islam,3.0,Unaffiliated,0.2,Hinduism,0.0
AGO,Angola,Protestant Christianity,33.0,Catholic Christianity,25.5,African Independent / Syncretic Christianity,14.8,Sunni Islam,6.3,Indigenous / Syncretic traditions,5.8
ALB,Albania,Sunni Islam,45.2,Unaffiliated,15.2,Other religions,8.0,Catholic Christianity,7.8,Folk / Traditional,6.8
AND,Andorra,Unaffiliated,28.3,Catholic Christianity,25.4,Protestant Christianity,20.6,Other Christianity,9.7,Sunni Islam,6.3
ARE,UAE,Sunni Islam,76.8,Shia Islam,7.8,Unaffiliated,3.0,Ibadi / Other Islam,2.6,Hinduism,2.1
ARG,Argentina,Catholic Christianity,57.6,Protestant Christianity,14.4,Unaffiliated,12.9,Other Christianity,5.6,Other religions,3.0
ARM,Armenia,Orthodox Christianity,48.2,Unaffiliated,25.2,Catholic Christianity,5.6,Other Christianity,4.3,Protestant Christianity,3.7
ATG,Antigua & Barbuda,Catholic Christianity,57.8,Protestant Christianity,14.5,Unaffiliated,12.9,Other Christianity,5.6,Other religions,3.1
AUS,Australia,Unaffiliated,46.3,Protestant Christianity,21.1,Catholic Christianity,10.0,Other religions,6.9,Other Christianity,5.7
AUT,Austria,Catholic Christianity,40.5,Unaffiliated,24.9,Sunni Islam,12.0,Protestant Christianity,10.3,Other Christianity,4.0
AZE,Azerbaijan,Shia Islam,62.1,Sunni Islam,32.0,Unaffiliated,2.1,Ibadi / Other Islam,1.9,Other religions,0.4
BDI,Burundi,Protestant Christianity,31.6,Catholic Christianity,24.3,African Independent / Syncretic Christianity,14.1,Sunni Islam,9.5,Indigenous / Syncretic traditions,5.6
BEL,Belgium,Catholic Christianity,33.5,Unaffiliated,31.9,Sunni Islam,13.5,Protestant Christianity,8.7,Other religions,4.2
BEN,Benin,Sunni Islam,34.2,Protestant Christianity,21.3,Catholic Christianity,16.4,African Independent / Syncretic Christianity,9.5,Indigenous / Syncretic traditions,4.2
BFA,Burkina Faso,Sunni Islam,58.1,Unaffiliated,8.7,Catholic Christianity,6.0,Shia Islam,5.9,Other religions,5.7
BGD,Bangladesh,Sunni Islam,79.1,Shia Islam,8.0,Hinduism,7.6,Ibadi / Other Islam,2.7,Unaffiliated,1.7
BGR,Bulgaria,Orthodox Christianity,45.3,Unaffiliated,27.1,Sunni Islam,9.6,Catholic Christianity,5.2,Other Christianity,4.1
BHR,Bahrain,Shia Islam,50.8,Sunni Islam,35.3,Unaffiliated,3.2,Orthodox Christianity,2.2,Other religions,1.8
BHS,Bahamas,Catholic Christianity,57.7,Protestant Christianity,14.4,Unaffiliated,13.5,Other Christianity,5.6,Other religions,3.1
BIH,Bosnia & Herzegovina,Sunni Islam,46.0,Unaffiliated,14.2,Other religions,8.0,Catholic Christianity,7.9,Folk / Traditional,6.8
BLR,Belarus,Orthodox Christianity,48.0,Unaffiliated,27.9,Sunni Islam,5.7,Catholic Christianity,5.5,Other Christianity,4.3
BLZ,Belize,Catholic Christianity,58.1,Protestant Christianity,14.5,Unaffiliated,12.9,Other Christianity,5.7,Other religions,3.0
BOL,Bolivia,Catholic Christianity,58.8,Protestant Christianity,14.7,Unaffiliated,11.8,Other Christianity,5.7,Other religions,3.0
BRA,Brazil,Catholic Christianity,57.6,Protestant Christianity,14.4,Unaffiliated,12.7,Other Christianity,5.6,Folk / Traditional,3.5
BRB,Barbados,Catholic Christianity,56.5,Protestant Christianity,14.1,Unaffiliated,13.6,Other Christianity,5.5,Other religions,3.0
BRN,Brunei,Sunni Islam,72.0,Shia Islam,7.3,Unaffiliated,6.0,Other religions,2.9,Catholic Christianity,2.9
BTN,Bhutan,Hinduism,22.9,Vajrayana / Other Buddhism,21.4,Other religions,15.2,Unaffiliated,10.6,Catholic Christianity,9.1
BWA,Botswana,Protestant Christianity,29.6,Catholic Christianity,22.8,African Independent / Syncretic Christianity,13.2,Indigenous / Syncretic traditions,9.5,Unaffiliated,9.3
CAF,Central African Rep.,Protestant Christianity,31.0,Catholic Christianity,23.9,African Independent / Syncretic Christianity,13.9,Sunni Islam,11.2,Indigenous / Syncretic traditions,5.5
CAN,Canada,Protestant Christianity,31.2,Unaffiliated,29.4,Catholic Christianity,14.8,Other Christianity,8.4,Sunni Islam,6.3
CHE,Switzerland,Catholic Christianity,37.8,Unaffiliated,32.0,Protestant Christianity,9.7,Sunni Islam,9.0,Other Christianity,3.7
CHL,Chile,Catholic Christianity,58.2,Protestant Christianity,14.5,Unaffiliated,12.7,Other Christianity,5.7,Other religions,3.1
CHN,China,Unaffiliated,50.0,Folk / Traditional,24.0,Mahayana Buddhism,13.9,Catholic Christianity,2.9,Protestant Christianity,2.4
CIV,Cote d'Ivoire,Sunni Islam,38.4,Protestant Christianity,15.1,Indigenous / Syncretic traditions,11.8,Catholic Christianity,11.7,African Independent / Syncretic Christianity,6.8
