Rank_Source,Subdivision,Country_Source,ISO3,Country,Continent_Source,National_HDI_Source,National_Rank_Source,Subdivision_HDI_2025_Source,Subdivision_Weight_2024,Subdivision_Weight_2050,Subdivision_Weight,Weight_Method,National_HDI_2025_Target,National_HDI_2050_Target,Subdivision_HDI_2025_Reconciled,Subdivision_HDI_2050_Projected,Subdivision_HDI_Change_2025_to_2050,Country_Subdivision_Count,Country_Source_Mean_HDI_2025,Country_Internal_Gap_Shrink_Factor,Population_2024,Population_2050,Subdivision_Population_2024_Est,Subdivision_Population_2050_Est,Subdivision_Population_Growth_2024_to_2050,Population_Weight_Confidence,DevelopmentMomentumTier,Trajectory
1,Zurich,Switzerland,CHE,Switzerland,Europe,0.97,1.0,0.993,0.2222796548894295,0.28009048004502124,0.28009048004502124,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.97,0.9674,0.991837,0.984496,-0.007341,7,0.971163,0.86,8921979,9342590,1983174.4130507372,2616770.517963815,0.319486,modeled_proxy_not_official_subdivision_projection,emerging_mover,slow_growth
8,Lake Geneva region,Switzerland,CHE,Switzerland,Europe,0.97,2.0,0.976,0.16106054990536559,0.1681196087441753,0.1681196087441753,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.97,0.9674,0.974837,0.969876,-0.004961,7,0.971163,0.86,8921979,9342590,1436978.8439841238,1570672.5754572449,0.093038,modeled_proxy_not_official_subdivision_projection,emerging_mover,slow_growth
25,Ticino,Switzerland,CHE,Switzerland,Europe,0.97,3.0,0.965,0.13075515822127162,0.12083100433934493,0.12083100433934493,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.97,0.9674,0.963837,0.960416,-0.003421,7,0.971163,0.86,8921979,9342590,1166594.7757918627,1128874.5328307205,-0.032334,modeled_proxy_not_official_subdivision_projection,emerging_mover,slow_growth
27,Northwestern Switzerland,Switzerland,CHE,Switzerland,Europe,0.97,4.0,0.964,0.12830063298467753,0.11725689416810081,0.11725689416810081,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.97,0.9674,0.962837,0.959556,-0.003281,7,0.971163,0.86,8921979,9342590,1144695.5531760002,1095483.086885957,-0.042992,modeled_proxy_not_official_subdivision_projection,emerging_mover,slow_growth
29,Espace Mittelland,Switzerland,CHE,Switzerland,Europe,0.97,5.0,0.963,0.1258921838969638,0.11378850407744392,0.11378850407744392,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.97,0.9674,0.961837,0.958696,-0.003141,7,0.971163,0.86,8921979,9342590,1123207.4209928492,1063079.340308887,-0.053532,modeled_proxy_not_official_subdivision_projection,emerging_mover,slow_growth
31,Central Switzerland,Switzerland,CHE,Switzerland,Europe,0.97,6.0,0.962,0.12352894602039662,0.11042270692945631,0.11042270692945631,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.97,0.9674,0.960837,0.957836,-0.003001,7,0.971163,0.86,8921979,9342590,1102122.662286112,1031634.0775320693,-0.063957,modeled_proxy_not_official_subdivision_projection,emerging_mover,slow_growth
54,Eastern Switzerland,Switzerland,CHE,Switzerland,Europe,0.97,7.0,0.955,0.10818287408189531,0.08949080169645736,0.08949080169645736,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.97,0.9674,0.953837,0.951816,-0.002021,7,0.971163,0.86,8921979,9342590,965205.3307183143,836075.8690213056,-0.133784,modeled_proxy_not_official_subdivision_projection,emerging_mover,slow_growth
2,Australian Capital Territory,Australia,AUS,Australia,Asia/Pacific,0.958,1.0,0.988,0.1892044062403491,0.23534198180006624,0.23534198180006624,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.958,0.9571,0.986736,0.979645,-0.007092,8,0.959264,0.86,26713206,32506964,5054256.280006131,7650253.330063408,0.513626,modeled_proxy_not_official_subdivision_projection,emerging_mover,slow_growth
11,Western Australia,Australia,AUS,Australia,Asia/Pacific,0.958,2.0,0.973,0.154545108817912,0.17065036103570752,0.17065036103570752,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.958,0.9571,0.971736,0.966745,-0.004992,8,0.959264,0.86,26713206,32506964,4128395.3281453,5547325.142774747,0.3437,modeled_proxy_not_official_subdivision_projection,emerging_mover,slow_growth
41,New South Wales,Australia,AUS,Australia,Asia/Pacific,0.958,3.0,0.958,0.1262348543257488,0.12374139751384182,0.12374139751384182,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.958,0.9571,0.956736,0.953845,-0.002892,8,0.959264,0.86,26713206,32506964,3372137.6679837187,4022457.1542921457,0.192851,modeled_proxy_not_official_subdivision_projection,emerging_mover,slow_growth
57,Victoria,Australia,AUS,Australia,Asia/Pacific,0.958,4.0,0.954,0.11960399554988299,0.11357700997106283,0.11357700997106283,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.958,0.9571,0.952736,0.950405,-0.002332,8,0.959264,0.86,26713206,32506964,3195006.1715471074,3692043.774356981,0.155567,modeled_proxy_not_official_subdivision_projection,emerging_mover,slow_growth
81,Queensland,Australia,AUS,Australia,Asia/Pacific,0.958,5.0,0.947,0.1088270600201183,0.09775689683048454,0.09775689683048454,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.958,0.9571,0.945736,0.944385,-0.001352,8,0.959264,0.86,26713206,32506964,2907119.6726917843,3177779.926020275,0.093103,modeled_proxy_not_official_subdivision_projection,emerging_mover,slow_growth
93,South Australia,Australia,AUS,Australia,Asia/Pacific,0.958,6.0,0.944,0.10451092714571122,0.09167036657181656,0.09167036657181656,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.958,0.9571,0.942736,0.941805,-0.000932,8,0.959264,0.86,26713206,32506964,2791821.926094376,2979925.306016844,0.067377,modeled_proxy_not_official_subdivision_projection,emerging_mover,slow_growth
94,Northern Territory,Australia,AUS,Australia,Asia/Pacific,0.958,7.0,0.944,0.10451092714571122,0.09167036657181656,0.09167036657181656,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.958,0.9571,0.942736,0.941805,-0.000932,8,0.959264,0.86,26713206,32506964,2791821.926094376,2979925.306016844,0.067377,modeled_proxy_not_official_subdivision_projection,emerging_mover,slow_growth
132,Tasmania,Australia,AUS,Australia,Asia/Pacific,0.958,8.0,0.935,0.09256272075456631,0.07559161970520385,0.07559161970520385,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.958,0.9571,0.933736,0.934065,0.000328,8,0.959264,0.86,26713206,32506964,2472647.0274372054,2457254.0604587523,-0.006225,modeled_proxy_not_official_subdivision_projection,emerging_mover,slow_growth
3,Oslo og Akershus,Norway,NOR,Norway,Europe,0.97,1.0,0.982,0.20232035783218036,0.242477996530616,0.242477996530616,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.97,0.9676,0.982029,0.977023,-0.005005,7,0.969971,0.86,5576656,5899827,1128271.0374269756,1430578.2308372345,0.267938,modeled_proxy_not_official_subdivision_projection,emerging_mover,slow_growth
