ISO3,Country,Population_2024,Population_2050
ABW,Aruba,108076,100006
AFG,Afghanistan,42647502,76885136
AGO,Angola,37885854,74295397
AIA,Anguilla,14623,14572
ALB,Albania,2791756,2240170
AND,Andorra,81955,82213
ARE,United Arab Emirates,11027135,15367397
ARG,Argentina,45696153,48308945
ARM,Armenia,2973843,2495200
ASM,American Samoa,46792,37570
ATG,Antigua and Barbuda,93782,95062
AUS,Australia,26713206,32506964
AUT,Austria,9120815,8724335
AZE,Azerbaijan,10336577,11224921
BDI,Burundi,14047788,24131721
BEL,Belgium,11738761,11870903
BEN,Benin,14462721,24433814
BES,Bonaire Sint Eustatius and Saba,30699,34760
BFA,Burkina Faso,23548782,37304387
BGD,Bangladesh,173562366,214709097
BGR,Bulgaria,6757686,5402218
BHR,Bahrain,1607059,2139472
BHS,Bahamas,401282,424272
BIH,Bosnia and Herzegovina,3164256,2455171
BLM,Saint Barthelemy,11282,12810
BLR,Belarus,9056696,7453542
BLZ,Belize,417077,516628
BMU,Bermuda,64660,56957
BOL,Bolivia,12413318,16110163
BRA,Brazil,211998565,217489300
BRB,Barbados,282476,264225
BRN,Brunei,462734,519557
BTN,Bhutan,791530,882345
BWA,Botswana,2521145,3437433
CAF,Central African Republic,5330691,10616753
CAN,Canada,39742429,45621880
CHE,Switzerland,8921979,9342590
CHL,Chile,19764774,20320305
CHN,China,1419321284,1260289089
CIV,Cote d'Ivoire,31934229,55746985
CMR,Cameroon,29123748,51096324
COD,Democratic Republic of Congo,109276264,218246071
COG,Congo,6332969,11006470
COK,Cook Islands,13750,9359
COL,Colombia,52886360,59385352
COM,Comoros,866632,1307561
CPV,Cape Verde,524878,566142
CRI,Costa Rica,5129909,5354149
CUB,Cuba,10979781,9381995
CUW,Curacao,185482,173500
CYM,Cayman Islands,74476,103970
CYP,Cyprus,1358287,1508484
CZE,Czechia,10735857,9825542
DEU,Germany,84552234,78294606
DJI,Djibouti,1168726,1530546
DMA,Dominica,66226,63212
DNK,Denmark,5977417,6124830
DOM,Dominican Republic,11427558,12996292
DZA,Algeria,46814302,59565550
ECU,Ecuador,18135478,21337230
EGY,Egypt,116538256,161630196
ERI,Eritrea,3535610,5696064
ESH,Western Sahara,590515,777321
ESP,Spain,47910533,44928562
EST,Estonia,1360548,1174264
ETH,Ethiopia,132059770,225021870
FIN,Finland,5617311,5351645
FJI,Fiji,928800,1000265
FLK,Falkland Islands,3492,3198
FRA,France,66548532,68219681
FRO,Faroe Islands,55419,63060
FSM,Micronesia (country),113171,126420
GAB,Gabon,2538953,4084539
GBR,United Kingdom,69138185,75504685
GEO,Georgia,3807668,3664012
GGY,Guernsey,64306,62823
GHA,Ghana,34427417,50553046
GIB,Gibraltar,39351,49819
GIN,Guinea,14754779,23404593
GLP,Guadeloupe,375113,326331
GMB,Gambia,2759999,4301899
GNB,Guinea-Bissau,2201360,3438608
GNQ,Equatorial Guinea,1892523,3143731
GRC,Greece,10047813,8812069
GRD,Grenada,117218,113255
GRL,Greenland,55864,49919
GTM,Guatemala,18406366,24670861
GUF,French Guiana,308538,471927
GUM,Guam,167790,191464
GUY,Guyana,831092,940608
HKG,Hong Kong,7414914,6090616
HND,Honduras,10825704,14846781
HRV,Croatia,3875325,3234155
HTI,Haiti,11772562,14710871
HUN,Hungary,9676135,8725349
IDN,Indonesia,283487933,320712943
IMN,Isle of Man,84182,77990
IND,India,1450935785,1679589264
IRL,Ireland,5255016,5970040
IRN,Iran,91567737,101861995
IRQ,Iraq,46042015,71928759
ISL,Iceland,393404,432997
ISR,Israel,9387015,13092723
ITA,Italy,59342870,51891098
JAM,Jamaica,2839182,2454944
JEY,Jersey,103857,104780
JOR,Jordan,11552885,16367354
JPN,Japan,123753041,105123163
KAZ,Kazakhstan,20592574,26544266
KEN,Kenya,56432946,83593234
KGZ,Kyrgyzstan,7186014,9642949
KHM,Cambodia,17638804,21931455
KIR,Kiribati,134521,182635
KNA,Saint Kitts and Nevis,46867,44274
KOR,South Korea,51717587,45143134
KWT,Kuwait,4934508,6367757
LAO,Laos,7769823,9757284
LBN,Lebanon,5805962,6999262
LBR,Liberia,5612813,8910534
LBY,Libya,7381029,9260610
LCA,Saint Lucia,179751,172086
LIE,Liechtenstein,39895,43024
LKA,Sri Lanka,23103561,24813694
LSO,Lesotho,2337428,2993088
LTU,Lithuania,2859112,2258767
LUX,Luxembourg,673042,791461
LVA,Latvia,1871874,1513807
MAC,Macao,720270,668856
MAF,Saint Martin (French part),26155,18821
MAR,Morocco,38081176,43440432
MCO,Monaco,38657,36781
MDA,Moldova,3034967,2351806
MDG,Madagascar,31964960,53185473
MDV,Maldives,527801,589963
MEX,Mexico,130861001,148946266
MHL,Marshall Islands,37572,25212
MKD,North Macedonia,1823011,1512685
MLI,Mali,24478597,46154082
MLT,Malta,539612,535728
MMR,Myanmar,54500086,58623233
MNE,Montenegro,638481,533299
MNG,Mongolia,3475541,4501492
MNP,Northern Mariana Islands,44299,42785
MOZ,Mozambique,34631767,63530959
MRT,Mauritania,5169403,9415604
MSR,Montserrat,4414,3716
MTQ,Martinique,343201,282076
MUS,Mauritius,1271171,1107198
MWI,Malawi,21655288,37361675
MYS,Malaysia,35557670,44289762
MYT,Mayotte,326512,645436
NAM,Namibia,3030127,4512303
NCL,New Caledonia,292655,340592
NER,Niger,27032417,52513881
NGA,Nigeria,232679482,359185557
NIC,Nicaragua,6916136,8756437
NIU,Niue,1841,1988
NLD,Netherlands,18228740,18958470
